序号,诉求,诉求时间,回复时间
1,温情巴士西海岸分公司：地址位于黄岛区泊里镇65路盛客隆公交站。反映事由：盛客隆公交站候车亭里面的广告灯箱，被风刮出来，且广告灯箱前后保护架均被刮开，近日风大，影响等车人员的安全。本人于2020.03.19打电话反映到真情巴士客服。截止2020.03.27尚未修复，希望及时修复，保证候车人员的生命财产健康安全。附件有图。,2020-03-27,2020-04-07
2,您好，来信收悉。您反映的问题青岛市环境保护局黄岛分局进行了落实。经核实，关于改道工程石灰窑段的环评手续问题及噪声解决方案；G204（洋河崖桥至姜家洼子段）改造工程一期包括G204改道工程，石灰窑桥、薛家庄南桥2座桥梁拓宽改造工程三部分。不包含石灰窑段道路改造拓宽项目。我局未受理石灰窑段拓宽道路的环评审批申请。我局未受理石灰窑南桥的环评审批申请，根据《建设项目环境影响评价分类管理名录》，桥梁拓宽不在名录内。就您反映的问题，我局将对接交通部门进行调查处理。交通噪声以及建筑施工噪声不属于我局职责。感谢您对青岛西海岸新区的关注与支持!你们在环评上盖章了，这事就该你们管！！！不管是十年还是二十年，除非没有你们这个部门了 ,2020-04-04,2020-04-07
3,尊敬的市长您好！我想咨询一下，即墨区田横镇王村中学对面有什么规划吗？希望市长回复一下。,2020-04-03,2020-04-07
4,领导您好！4月4号14点左右在灵山湾路黄海小区公交站乘坐1路公交车时，持军人退役证乘坐该1路公交车时被公交车司机拒绝，称现役军人和退役军人不一样！要求付钱乘车，之后付钱乘车。在此以前所有公交车都是持证免费乘车，还有大珠山旅游区也是持证免费游览，现想咨询一下退役军人乘车是免费还是不免费，是地方政策不一样吗？退役军人都有哪些有待政策。谢谢！,2020-04-04,2020-04-07
5,最近要建设青海湖路九年一贯制学校，那青海湖路（站前大道-胶黄铁路）段最近有整修计划吗？,2020-04-03,2020-04-07
6,青岛市人民政府，希望你们能看到这封老百姓的信，疫情下公交系统要求人们乘车手机登记服务，现在疫情稳定为什么公交系统还要继续，青岛公交集团是青岛便民服务，现在是便民吗，老百姓乘车困难不敢换乘，外来人员本地人员都在吐槽，虽然麻烦年轻人登记就罢了，家中老人无老年卡的手机用的又不是太顺手的你们让他们怎么办，青岛司机也不帮忙扫码，身份证忘记带只能被赶下车，这就是青岛的便民服务基础吗，青岛的办事风格就是牺牲少部分人只要大部分人没问题就可以了嘛，琴岛通的卡不能识别身份的问题就要这些不太会用手机的人来买单吗，我们这些年轻人整天手机防疫就罢了，家中老人也要遭罪，青岛的手机式防疫工作什么时间能结束希望有个答复，如果扫码是不是应该在司机位置贴放乘车码以方便不会是会用手机的人让司机来帮助，青岛公交的司机难道只会坐在那里赶人下车吗，希望青岛政府不要为了百分之90人的方便来牺牲百分之10人，你们政府统计的是方便了，老百姓呢，便民服务就是个口号吗,2020-04-05,2020-04-07
7,您好，来信收悉。您反映的问题青岛市环境保护局黄岛分局进行了落实。经核实，关于改道工程石灰窑段的环评手续问题及噪声解决方案；G204（洋河崖桥至姜家洼子段）改造工程一期包括G204改道工程，石灰窑桥、薛家庄南桥2座桥梁拓宽改造工程三部分。不包含石灰窑段道路改造拓宽项目。我局未受理石灰窑段拓宽道路的环评审批申请。我局未受理石灰窑南桥的环评审批申请，根据《建设项目环境影响评价分类管理名录》，桥梁拓宽不在名录内。就您反映的问题，我局将对接交通部门进行调查处理。交通噪声以及建筑施工噪声不属于我局职责。感谢您对青岛西海岸新区的关注与支持!你们在环评上盖章了，这事就该你们管！！！不管是十年还是二十年，除非没有你们这个部门了 ,2020-04-03,2020-04-07
8,地铁13号线嘉陵江路站开通时间,2020-04-07,2020-04-07
9,地铁13号线嘉陵江路站开通时间,2020-04-07,2020-04-07
10,地铁13号线嘉陵江路站开通时间,2020-04-07,2020-04-07
