序号,诉求,诉求时间,回复时间
1,看青岛人才上很多招聘要求是统招的，自考的也是国家承认的，人才政策里本科也不分是不是自考，想建议国企多给自考生机会，也希望能推荐一份合适的工作。http://govmail.qingdao.gov.cn/government/GovWebSite/ReplyInfos.aspx?guid={c6dd3567-a464-44ae-a4e0-1aa78e63130c}市人社局答复时间2013/6/25答复信息(2013/6/25)您好，来信收悉。工作人员与来信人电话了解，来信人因所学专业较为前沿，凭着对家乡的热爱，怀揣着为家乡发展作贡献的愿望，提出了希望多建立一些对前沿专业人才需求计划的建议。工作人员向其介绍了我市为鼓励高学历人才及前沿专业人才制定的相关优惠政策，并让来信人将个人简历和求职意向发至毕业生处，通过高校毕业生岗位配置平台为其推荐配置了一份与其专业对口的工作，毕业生表示感谢。看了之前政府的热心，希望能同样得到帮助,2020-04-04,2020-04-07
2,"您好,请问西海岸2020年教师招聘考试内容是否发生变化,是考教基＋学科吗,还是和往年一样考教基＋公基",2020-04-06,2020-04-07
3,数学学科的第一模块检测范围,2020-04-03,2020-04-07
4,遣返插队外国人,2020-04-02,2020-04-07
5,"目前,中级证书已达到考取高级资格证书的条件,目前不知道再什么地方报名培训及考取证书,特此咨询,请您帮忙提供一下基本信息,谢谢,,",2020-04-02,2020-04-03
6,"目前,中级证书已达到考取高级资格证书的条件,目前不知道再什么地方报名培训及考取证书,特此咨询,请您帮忙提供一下基本信息,谢谢,,",2020-04-02,2020-04-03
7,请市长下一个app软件同类的岗位，与济南比较一下，看看薪资与岗位数量的差距,2020-03-31,2020-04-02
8,请市长下一个app软件同类的岗位，与济南比较一下，看看薪资与岗位数量的差距,2020-03-31,2020-04-02
9,尊敬的领导您好：我是一名非应届毕业生，正在准备教师招聘考试。近来在网上看到消息，今年事业单位招聘考试，将向应届毕业生倾斜。请问教师招聘考试也向应届毕业生倾斜么？我们当时毕业，并没有政策偏向我们。而今，我们工作的单位，也受疫情影响。所以我认为事业单位招聘偏向应届毕业生并不公平。我已经边工作边准备了一年的时间，我身边有人，为了准备考试，辞职全心在家复习应考。如果我们考试被排挤，随着对年龄的限制，我们很怕没有机会再参加考试。希望领导能够全面考虑。谢谢。,2020-03-27,2020-04-02
10,尊贵的市长先生：您好！我是退休教师，希望您能关注一下，青岛市择业期和即将过择业期的高校毕业生的就业问题。近几年不少地区都出台，针对本地户籍和本地生源的高校毕业生的招聘，我们青岛市为什么不能有针对本地户籍的高校毕业生的专项招聘？许多外地人应该是冲着青岛的气候环境来应聘的，所以给本地青年就业造成更大的压力。我知道周围有不少青年找不到工作，这部分群体对国家贡献和社会安定，都会起到不小的作用。看到他们也在努力备考，但是找工作的人实在太多，一个岗位上百人甚又是多少？作为一级政府的父母官，将心比心，现在不都在讲人性化管理吗？希望您能关注一下，青岛市择业期和即将过择业期的高校毕业生的就业问题。青岛市市民老李              2020.3.30,2020-03-30,2020-04-02
