序号,诉求,诉求时间,回复时间
1,阜安办事处胡家庄近些年来居民用水一直是个大问题，自来水水质极差，根本无法饮用，还经常没水，老百姓苦不堪言，反映了多次一直未能解决。另外村里下水道也年久失修，污水无处排放，路上经常遍地污水，希望政府尽快解决，帮帮这些老百姓！,2020-03-30,2020-04-07
2,中央不是说今年供热延长10天吗？为什么没有执行？,2020-04-07,2020-04-07
3,今天看到网上说4月5日要停暖气了，不是看天气情况定吗？天气预报清明后降温啊！供暖不能延长吗？再次要求延长供暖。,2020-04-04,2020-04-07
4,由于疫情 老人和孩子长期在家，建议供暖延长。,2020-04-05,2020-04-07
5,我们是胶州科润城格外小区的住户，给我们供热的是青岛金洲热力。我们小区的供暖停了大概有一个月了，具体时间热力公司肯定有数。我就想问一下，我们交的供暖费是到四月五号，那这些日子不供暖我们的费用怎么退？我们小区有业主打电话给供热公司，回复说别人都没有反映的，就你打电话。我就不明白了，不打电话反映这个事就不存在了吗？你不供暖干嘛收我们那么多供暖费？收了不放气还不准备退费，老百姓的钱就是大风刮来的？这个钱就赚得那么心安理得？买卖买卖，有买有卖，我买了你却不卖，有这样的道理？希望有关部门能给我们解决这个问题。这是小事不假，但是确是民生问题。,2020-04-03,2020-04-07
6,胶州产业新区的住宅能否实现集中燃煤供暖？,2020-04-03,2020-04-07
7,自来水混有泥沙，多次堵塞我家水管，绝非个例，一楼的住户普遍受其困扰，导致洗衣机、热水器、马桶损坏。严重影响居民日常生活。盼迅速解决，不要推诿！,2020-03-29,2020-04-07
8,您好！我也不知该找谁解决这个问题，希望您能帮忙。我家自来水有泥沙的情况已经一年了，经常堵塞水管，损坏我家热水器、洗衣机、马桶等，给我的生活造成巨大困扰。此问题绝非个例，住在一楼的住户普遍反映。希望能得到解决，谢谢。,2020-03-29,2020-04-07
9,莱西市马连庄镇东巨村的水费收取根本没有让我们看见水表，都是收费员随便通知个数字，我家都一个月没有回去住了，还有一方水的用量，也不知谁用了，有的家收费员就虚报个3方说就收你们2方的钱吧，这个收费标准太任性了,2020-04-02,2020-04-07
10,尊敬的青岛市市长：你们好！我们是青岛市市北区错埠岭小区广大群众。现在向你们急切反映并举报一件错埠岭三路14号楼后花园两个古力下水道改造失败，造成害人工程和豆腐渣工程。辽源路街道办事处的领导们在2015年对此下水井进行了改造，造成了一个古力下水道成为了废物，不正常工作，失去了储藏粪便、污水的功能！变成了一个废井！（有图片为证）相应的北边一个古力下水道，施工者把排水管道提高了1米多，形成了长期的污水粪便倒灌入14号楼医源诊所，使得医源诊所成为了污水粪便的储藏处！经常遭到倒灌（有图片为证）。从2015年至今，长期倒灌，使诊所无法工作，经常用人工排除大便和污水，每次多达17水桶！2020年2月9日至3月21日，该诊所遭到倒灌1个半月之久！（有图片为证）为此，我们广大群众上百次要求12345市民热线反映解决此问题（可查12345热线），并且多次报警求助......但是问题至今没有解决！这种害人工程和豆腐渣工程，是辽源路街道办事处工作不到位、乱作为所导致！至今施工方承认要重新维修，但以后再无下文。青岛电视台于3月12日到现场做了采访，市政污水处理站来现场检查，多次给予12345市民热线回复，指出造成居民粪便倒灌和古力改造错误是街道办事处和施工方的工作失误所造成的严重后果！给市北医源诊所带来了重大的伤害，无法正常生活和开展医疗工作！在此，我们强烈要求市领导尽快处理此事，还公平正义给广大群众，维护群众利益，请尽快对这两个古力下水井系统重新修理！2015年以前这两个古力下水井经常冒溢，粪便和污水经常溢出到院子里，市民出行遭到不便，臭气熏天，也经常倒灌医源诊所。为此，医源诊所自费花了近60多次投下水道，费用近7000元；这个费用应该是物业公司来负责，但是至今没有补偿此费用，而且2020年2月到3月20日，又投了36次，花费了近4000元（有图片为证）！目前事态恶劣，情况更加严重，一直到了3月29日，连续又出现了粪便倒灌！受害人代表：李贵海  电话：13969785630            翟喜秋  电话：13370891876            李建文  电话：13646487351            赵维庆  电话：13863983865            崔永俊  电话：15054826158            李瑞芳  电话：15269299258            于延岱  电话：15563906525            戴  阔  电话：18678996526                                                                                                                                                         2020年3月29日,2020-03-29,2020-04-07
