序号,诉求,诉求时间,回复时间
1,2017年5月24日，我选岗泊里公共服务协管员岗位。31日，泊里领导接待讲话。会上直喊中国大泊里没有劳动法！我们都被镇住了，纷纷提议返回，后来被压下来。此事阴影对我影响巨大，没能签上合同。以上属实。特此汇报领导。还有上次反映的船厂事件，绝对属实。我今失业。请有关领导酌情处理，以正能量安抚退役军人，培养提高党员觉悟和积极性，提供更好的发挥工作能力的平台和机会。,2020-04-01,2020-04-07
2,第一，其实延不延迟意义不大，即便是高考，教学的内容也早已结束，都已基本完成教学任务，进入复习阶段。这对每一个参加考试的学生是平等的，要不开学都不开学，要上网课都上网课。要说有个体差异，那只是你不够自律，也怪不得别人。第二，如果中考延迟，对于下一个学期高中的招生入学都会形成时间上的挤压，那样的话，这拨孩子们中考结束不到一个月就要进入高中学习，这未免也太辛苦了吧。,2020-04-03,2020-04-07
3,很抱歉打扰，我希望中考不希望延期，没有太大作用，还耽误我们高中招生,2020-04-06,2020-04-07
4,市教育局有关领导：作为一名2020级小学毕业生家长，从2019年起就在为孩子初中去向忙碌奔波，各种渠道得到的答复都是今年政策有变，还定不下。这疫情得到控制很快可以开学了，想知道今年小升初的政策何时能落地？作为孩子一生中的小转折，相信很多家长都很急切的关心这个问题，希望教育局尽快给个明确时间及答复。,2020-04-05,2020-04-07
5,，其实延不延迟意义不大，即便是高考，教学的内容也早已结束，都已基本完成教学任务，进入复习阶段。这对每一个参加考试的学生是平等的，要不开学都不开学，要上网课都上网课。要说有个体差异，那只是你不够自律，也怪不得别人。第四，如果中考延迟，对于下一个学期高中的招生入学都会形成时间上的挤压，那样的话，这拨孩子们中考结束不到一个月就要进入高中学习，这未免也太辛苦了吧。,2020-04-04,2020-04-07
6,今年开始实行中考等级制，个人觉得弊大于利，就连一线的老师都觉得弊大于利，孩子只认三大主科，其他学科都是觉得能达到等级的分数就行，不重示了，还有就是三大主科当中二门是文科，理科有优势的孩子都筛下去了，上不了重点高中，说实话数物化是非常重要的学科，我们国家的建设离不开文科类，更离不开理科，以前的中考是全科统算分数，这样孩子们都能认真去学每门功课，现在制度让孩子们放下了其他学科，只认语数英，偏课更历害。,2020-04-05,2020-04-07
7,青西二中只给学生放一天假期，日常时间并不给学生减少，强制占用学生清明假期，却以倡导为理由。,2020-04-05,2020-04-07
8,您好领导    胶南公办幼儿园非事业编三月份的工资什么时候发放？事业编教师的工资都会正常发放，为什么非事业编教师的工资都不按时发放，在疫情期间非事业编教师都在家也发关于疫情期间科学育儿的知识，也没闲着，研讨教研，开会，准备材料，是不是应该按照之前正常上班的工资发放，非事业编教师的工资一直多年都不按时发放，本来工资就很少，老师们也要维持家庭，以后工资能不能在规定的时间内按时发工资……,2020-04-04,2020-04-07
9,因为东部片区有人嫌教学资源少，清华附中选址就要变吗？那选择紫荆阁附近的楼盘的人又该怎么办呢？前期答复不是说清华附中的选址是前期多方考虑的吗？不会变吗？最近几天的答复就成了还在论证。请官方自己查看自己的答复。心慌慌，为啥没几天就变了？,2020-04-01,2020-04-07
10,实验幼儿园三里河分园什么时间开园，我们19年10月份就交了入托费购买了实验幼儿园统一的被褥，开学前一天晚上突然说不开园了，一直没信，请问不开园为什么不出面解释，收钱不开园！,2020-03-30,2020-04-07
11,政府领导：请问“胶州西路296号，天泰幸福里小区” 初中 往年或者以后划片在哪里上初中，在那个中学上？肯定领导们百忙之中给予解答，真心感谢。,2020-04-06,2020-04-07
12,请问领导能不能提前发放国家励志奖学金剩余奖学金，好多学生在家都很困难,2020-04-06,2020-04-07
13,孟市长您好:  网传胶东机场跑道质量有问题，需要重新建设？我想问下上百个亿投资的项目相关人员把它当成儿戏了吗？最近才验收出不合格，早干什么去了！我也不想相信这种事情，可是网上传的很厉害，一旦出事今年机场又无法转场了，重修跑道又要一年半载请问这是开玩笑吗？又要在国家面前丢脸吗？强烈建议孟市长先调查清楚这件事的真实性。如果真实，请相关人员利用电视问政栏目当着全市人民的面谢罪！并且以最快的速度高质量重建跑道。如果事情不属实，请约谈造谣者，在以后的重大基建交通设施项目要严格筛选建筑公司，并且验收工作要严格不定时检验！,2020-03-24,2020-04-07
