序号,诉求,诉求时间,回复时间
1,早上八点开通勤车公司到薛家岛路线，珠江路天目山路口最右边车道，天能电池爱玛电动车两辆电三轮在车道内维修，抛开车辆强行变道不说，对我们司机和行人都构成不稳定安全因素，且容易造成压车，天天早晚通过此处，天能电池爱玛电动车占路经营已经是病态了，开始停修二轮，逐渐发现三轮，修车的在车道人行道上停留不是好事，请薛家岛官员及时发现整顿，,2020-04-01,2020-04-07
2,2020年4月1日20点40分左右，西海岸新区大珠山中路向北，行至接近东岳中路路口，砼运输车鲁BL1277，前车牌两侧及车体两侧加装多个远光大灯，且在行驶中长时间开启，严重影响其他车辆的正常行驶，根本看不清前面的路。。。。。。多少次了，反映了根本没有任何改善，市区道路上各种乱跑，真不知道你们到底在干嘛！！,2020-04-01,2020-04-07
3,琅琊台路环球世家及环球家属院一段，新更换的护栏未给小区留去往南向的出口及掉头出口，护栏直接安装到北侧红灯处，如此小区车辆出来后只能往北走，在红灯处掉头会给交通带来极大的阻碍，请政府领导实地考察，给两个小区留出来转南向的出口,2020-04-02,2020-04-07
4,"您好,请问我父亲现在还未退休,但是想把户籍从胶南转到胶州来,我想了解一下这样会不会影响到后期退休后养老保险的领取,如果户籍转到胶州之后,办理退休是在胶州还是胶南,盼回复,谢谢,",2020-04-02,2020-04-07
5,本人居住在高新区华贯路珊瑚湾4期，小区从去年开始因为施工原因，禁止车辆进入小区，今年更是因为疫情问题，禁止所有车辆进入。近期高新区交管部门在华贯路东19号线安装了摄像头，并画了黄线。部分停在路边的车辆陆续接到了交管部门的违停处罚通知。我想问，小区不让车辆进入，车只能停在路边。现在路边禁止停车，我们停哪？交管部门执法不考虑实际情况吗？,2020-04-05,2020-04-07
6,领导您好：   首先说明不是指德龙崇明岛小区里面，而是这个小区西侧院内(院内有平房和大片空地)。这个院内目前是个半挂车停车场，现有疑问和情况说明如下：1.崇明岛西路是禁行大型货车的，且路口有明显警示标志，为何还存在数年之久？2.一墙之隔就是德龙小区和澎湖岛街小区，最近距离十几米，难道不扰民吗？3.此问题我们求助和投诉多次，没有任何解决和改善，问题在哪？4.亲眼目睹咱们的城管和交警去过好多次，为什么没有取缔？难道是去收好处费？5.德龙小区门口夜间也经常有半挂车停在非机动车道上，占道不说，车高严重遮挡视线。6.这些半挂车经常集体出车，转弯半径本来就大，加上崇明岛西路也不宽，安全隐患非常大。7.停车场的车夜间回来出动都是无规律的，声音巨大，影响睡眠8.冬季柴油味很浓，可能他们热车，居民区附件污染空气。9.其实最主要的是安全，停车场的出口是崇明岛西路的上坡路段，很危险，几年来也出现多次撞车事故。    一段禁行大货车的路，里面居然有半挂车的停车场，数年之久了，也是奇葩，咱们的执法部门和网格员难道就没有发现吗？只知道去欺压普通老百姓，碰到能有好处费的就不管不问。相关部门领导肯定会一口否认，但是我们从一些知情人士那里得知，确有此事（用原话就是不交保护费能让停，能让跑？）其实不用想就能知道，一段明明禁行大型货车的路，城市管理部门也知道停车场的存在，且投诉求助多次，居然依然存在，没有猫腻谁信！！！！！！    这次投诉我们会通过抖音和其他短视频APP，一同发布，也会有现场的录像。期待有一定的进展，谢谢。(货车禁行标志我们已经拍照，相关部门不用连夜去拆)（为了保护相关人员，我们只能通过建议的模式）,2020-04-03,2020-04-07
7,"温州路（郑州路-胶州路段）道路过窄，没有人行道和非机动车道。存在较大的安全隐患！特别是夜间对向车辆开启灯光后顺向车辆驾驭员基本看不清右侧行人和非机动车,容易发生交通事故！请贵局领导给予回复！谢谢 ",2020-03-31,2020-04-07
8,李沧永安路派出所【张安民】公开办冤假错案，谁给你的权力？ 以拘留为名收取当事人1300元；多退，少补的体检费张安民装进自己的腰包？调取：李沧永安路派出所门卫的视频监控？带有【黑社会性质】永安路派出所为什么敢做【案卷】内造假的笔迹鉴定？派出所为什么不敢调取民警按照正常法律程序进行使用枪支对当事人刑讯逼供的全程视频监控？当事人的苹果手机在青岛李沧永安路派出所治安室被损坏？至今没有赔偿？当事人的物品在派出所被偷？当事人的钱包被你扣押至今没有返还？当事人要求：李沧永安路派出所调取全程视频监控？李沧永安路派出所【张安民】违反《中华人民共和国警察法》 第四十九条规定：人民警察违犯规定使用武器；警械犯罪的，依法追究刑事责任，商不构成犯罪的；应依法给予行政处分；调取：永安路派出所案卷内为什么没有原始有效病历，及6800元的原始有效发票、和1200元的原始有效误工证明？派出所称：案卷内有二张加盖公章的传唤证？当事人要求做笔迹鉴定？为什么不敢做笔迹鉴定里面有私弊？李沧永安路派出所回话者：经永安路派出所【造假】调查，在传唤徐毅、袁美玲期间，民警均按照正常程序进行，无任何违规行为？派出所为什么胆战心惊不敢调取：按照正常法律程序进行的全程视频监控？乱使用枪支刑讯逼供，敲诈勒索当事人1300元体检费，装进自己的腰包？当事人的物品在永安路派出所被【警察】盗窃？这就是派出所民警：按照正常法律程序进行的吗？青岛李沧永安路派出所以市公安局的名誉进行了假落实？调取：永安路派出所【张安民】一人办的冤假错案，全程视频监控。依监控视频为依据，看监控【张安民】是实施刑讯逼供，还是进行调解。当事人会同意【蔡敏】提出的要求，是永安路派出所【张安民】用手枪威胁、威逼当事人，你必须签字，你不签我把手枪枪膛压你脖子上转90度，让你成猪血脖子、半月不变色。还有把你铐起来吊暖气管子上，让你的脚不互地。威逼当事人在空白纸上签的字，捺印。【调取：永安路派出所影响室全程视频监控】为什么不敢调取监控？派出所案卷两次传唤证均有该有印章的传唤证，全是假的。【张安民】在永安路派出所治安室共开具五张空白无内容、无公章、无派出所负责人，签字、的无效传唤证。调取：派出所治安室全程视频监控，（监控时间及地点已打印出文字，交予派出所民警夏福林，已在派出所案卷内。）永安路派出所调取《未见轻微伤》【蔡敏】（右嘴角，被钱包、划破流一滴血）的住院费用明细，夏福林给我看过、我告诉夏福林，当事人徐毅要的是【蔡敏】的住院原始有效病历及6800元的原始有效发票？才是法律依据。派出所无法提供当事人索要的原始有效依据凭证，因为派出所违法犯罪为蔡敏走了医保、当事人索要的原始有效病历及原始发票在医保办。当事人索要李沧永安路派出所为【蔡敏】儿子造假的1200元原始有效误工证明？当事人不听派出所造假犯罪的落实，当事人只看视频监控、重实事、重依据、依事实为依据，以法律为准绳。调取监控与事实不符当事人承担法律责任。李沧永安路派出所【张安民】违反《中华人民共和国警察法》 第四十九条规定：人民警察违犯规定使用武器；警械犯罪的，依法追究刑事责任，商不构成犯罪的；应依法给予行政处分；张安民违反《公安机关适用继续盘问规定》第十四条规定：对有违法犯罪嫌疑人员批准继续盘问的。公安派出所应当填写《继续盘问通知书》，送达被盘问人，并立即通知其家属或者单位；未批准继续盘问的，应立即释放。张安民违反《公安机关使用继续盘问规定》第二十二条：在继续盘问期间，公安机关及其人民警察应当依法保障被盘问人的合法权益，严禁实施下列行为：（一）、对被盘问人进行刑询逼供；（二）、殴打、体罚 虐待、侮辱被盘问人；（四）、侵吞、挪用、损毁被盘问人的财物；（五）、违反规定收费或者实施处罚。（六）、其他侵犯被盘问人合法权益的行为。张安民违反《公安机关适用使用继续盘问规定》第三十二条规定：将被盘问人送入侯问室时，对其随身携带的物品，公安机关应当制作《暂存物品清单》经被盘问人签名或者捺手印确认后妥善保管，不得侵吞、挪用、或者损毁。【调取：李沧永安路派出所：按照正常法律程序进行的全程视频监控取证？乱使用枪支刑讯逼供，敲诈勒索当事人1300元体检费，装进自己的腰包？当事人的物品在永安路派出所被【警察】盗窃？这就是派出所民警：按照正常法律程序进行的程序？】 【张安民】、张安民：你现在就是一只夹着狗尾巴的畜牲土鳖，你使用【武器】实施犯罪，刑讯逼供的威风哪去了？你蹦地三尺，狗仗人势，狗叫的威风又哪去了？李沧永安路派出所【张安民】放屁：咬定【毕兆升】指使你办冤假错案， 【张安民】你索要癌症药费6800元及1200元造假误工费等等共计8000元人民币，依据是什么？为什么给当事人交不出（蔡敏）6800元的癌症用药发票？为什么不敢交不出你造假1200元的误工证明？【张安民】我明确的告诉你这个土鳖畜牲，【你自己壹人是经办人】办的冤假错案，追究你的刑事责任。,2020-04-06,2020-04-07
9,李沧永安路派出所【张安民】公开办冤假错案，谁给你的权力？ 以拘留为名收取当事人1300元；多退，少补的体检费张安民装进自己的腰包？调取：李沧永安路派出所门卫的视频监控？带有【黑社会性质】永安路派出所为什么敢做【案卷】内造假的笔迹鉴定？派出所为什么不敢调取民警按照正常法律程序进行使用枪支对当事人刑讯逼供的全程视频监控？当事人的苹果手机在青岛李沧永安路派出所治安室被损坏？至今没有赔偿？当事人的物品在派出所被偷？当事人的钱包被你扣押至今没有返还？当事人要求：李沧永安路派出所调取全程视频监控？李沧永安路派出所【张安民】违反《中华人民共和国警察法》 第四十九条规定：人民警察违犯规定使用武器；警械犯罪的，依法追究刑事责任，商不构成犯罪的；应依法给予行政处分；调取：永安路派出所案卷内为什么没有原始有效病历，及6800元的原始有效发票、和1200元的原始有效误工证明？派出所称：案卷内有二张加盖公章的传唤证？当事人要求做笔迹鉴定？为什么不敢做笔迹鉴定里面有私弊？李沧永安路派出所回话者：经永安路派出所【造假】调查，在传唤徐毅、袁美玲期间，民警均按照正常程序进行，无任何违规行为？派出所为什么胆战心惊不敢调取：按照正常法律程序进行的全程视频监控？乱使用枪支刑讯逼供，敲诈勒索当事人1300元体检费，装进自己的腰包？当事人的物品在永安路派出所被【警察】盗窃？这就是派出所民警：按照正常法律程序进行的吗？青岛李沧永安路派出所以市公安局的名誉进行了假落实？调取：永安路派出所【张安民】一人办的冤假错案，全程视频监控。依监控视频为依据，看监控【张安民】是实施刑讯逼供，还是进行调解。当事人会同意【蔡敏】提出的要求，是永安路派出所【张安民】用手枪威胁、威逼当事人，你必须签字，你不签我把手枪枪膛压你脖子上转90度，让你成猪血脖子、半月不变色。还有把你铐起来吊暖气管子上，让你的脚不互地。威逼当事人在空白纸上签的字，捺印。【调取：永安路派出所影响室全程视频监控】为什么不敢调取监控？派出所案卷两次传唤证均有该有印章的传唤证，全是假的。【张安民】在永安路派出所治安室共开具五张空白无内容、无公章、无派出所负责人，签字、的无效传唤证。调取：派出所治安室全程视频监控，（监控时间及地点已打印出文字，交予派出所民警夏福林，已在派出所案卷内。）永安路派出所调取《未见轻微伤》【蔡敏】（右嘴角，被钱包、划破流一滴血）的住院费用明细，夏福林给我看过、我告诉夏福林，当事人徐毅要的是【蔡敏】的住院原始有效病历及6800元的原始有效发票？才是法律依据。派出所无法提供当事人索要的原始有效依据凭证，因为派出所违法犯罪为蔡敏走了医保、当事人索要的原始有效病历及原始发票在医保办。当事人索要李沧永安路派出所为【蔡敏】儿子造假的1200元原始有效误工证明？当事人不听派出所造假犯罪的落实，当事人只看视频监控、重实事、重依据、依事实为依据，以法律为准绳。调取监控与事实不符当事人承担法律责任。李沧永安路派出所【张安民】在那放屁，调取：监控视频取证。为什么不敢放狗屁？谁造假，掩盖事实真相，【让他全家死绝。】哪个畜生给我交不出我要6800元的原始发票及【张安民】造假1200元的原始有效误工证明，第三人民医院的原始有效病历【张安民我告诉你，谁造假，掩盖事实真相、装土鳖让他全家死绝。】李沧永安路派出所【张安民】你在哪放屁？2020年1月30日晚上【第1遍】20;22分、【第2遍】20；27分、【第3遍】20:32分用66576758给当事人打通三遍电话，派出所怎么不敢放狗屁？李沧永安路派出所【张安民】放屁：2020年2月5日上午：9：58分、10；00、10：17分用66576758给当事人打通三遍电话，派出所【张安民】怎么不敢放狗屁？因为派出所严重违法实施犯罪办的冤假错案？造假者【张安民】放屁称：当事人“均未接听电话,2020-04-06,2020-04-07
10,寤鸿\ue185鍙傝€冨叾浠栧\ue11f鏍＄殑寮€瀛︽柟寮忥紙瑙侀檮浠讹級,2020-04-07,2020-04-07
11,因疫情原因不能及时参加安全教育学习班，交管部门不应该给驾驶证锁定。,2020-04-03,2020-04-07
12,为什么从青岛机场下来的国外回来人员不在机场旁边酒店直接隔离，或者去青岛市内隔离，偏要拉到黄岛区，开发区来隔离，还占了各大酒店，也不公布隔离酒店名单，让大家知晓。我们的婚礼酒店也是偷偷摸摸的隔离进去人了，这样让我们已经交了定金的新人怎么办婚礼，谁敢来？谁给我们赔偿呢？,2020-03-31,2020-04-07
13,"4月初刚从上家公司转出,需要办理失业登记,可否网上办理,具体怎么操作",2020-04-04,2020-04-07
14,缺钙怎么治疗  去崂山要签证吗 我很黑能插队吗 签名辱华为什么不敢回应 市政府和区政府为什么不能给民众满意的答复 青岛还是租界吗 为什么对外国人不依法处理而是只要求道歉呢 依照附件里的法律为什么只是简简单单的道歉 请给全国人民一个满意的答复,2020-04-04,2020-04-07
15,你好，我現在不在即墨，我想知道打13介疫苗，第一針最迟是在小寶幾月的時候打，他現在還有一天就四個月了。我之前在手機看到說13介要在六個月之內打完三針。不知道即墨這邊是什麼時候，我怕錯過了,2020-04-06,2020-04-07
序号,诉求,诉求时间,回复时间
16,苗岭路（海尔路至深圳路段）全路段基本都被违停车辆占了两条车道，只留出一条行车通道，甚至违停车都停好几层，车从山东头路下坡下来以后本来车速就很快，此路段违停严重影响行车安全，且早高峰时段把路堵得死死的，影响通行效率，太过分了。此区域车流量非常大，建议崂山区交警严管，确保行车安全和通勤效率！！！,2020-03-31,2020-04-07
17,协力公寓是武船和北船工人宿舍，每天上班早高峰期间（6:30-7:00），有路边摊卖早餐，大量工人骑车逆行购买早餐，造成交通拥堵，此处无交通信号灯也无监控，常年如此。路边并长期停留车辆，此处无停车位。本来辅道就窄，每次通行都要冒着“生命危险”去开车，还要避让工人，对车行车和工人都造成危险。请相关部门对此路段进行整治，保证道路安全。,2020-03-31,2020-04-07
18,我是城阳区居民，和媳妇打工，有一个儿子。没有住房。现在可以申请保障房，我去咨询情况，说我可以申请，但是媳妇也必须是青岛户口，我想迁过来他们说空挂户不能迁入，我是1996年迁过来的户口，儿子和我是一个户口本，媳妇的户口在河南，一直有青岛社保，因为这个原因我们不能申请，这样合理吗，现在外地人也可以申请保障房，为什么我这样的不可以呢，请领导指点迷津，谢谢,2020-03-31,2020-04-07
19,为什么从青岛机场下来的国外回来人员不在机场旁边酒店直接隔离，或者去青岛市内隔离，偏要拉到黄岛区，开发区来隔离，还占了各大酒店，也不公布隔离酒店名单，让大家知晓。我们的婚礼酒店也是偷偷摸摸的隔离进去人了，这样让我们已经交了定金的新人怎么办婚礼，谁敢来？谁给我们赔偿呢？,2020-03-31,2020-04-07
20,疫情期间，城管不戴口罩，背手，插兜，暴力执法，有视频,2020-03-28,2020-04-07
21,漳江路提香海岸（多层）小区里有流浪狗流浪猫。新闻报道流浪猫可能有病毒。石正丽等发现：流浪猫体内有新冠抗体，环境防控不容忽视。,2020-04-04,2020-04-07
22,SKY,2020-04-06,2020-04-07
23,灏婃暚鐨勬暀鑲插眬棰嗗\ue1f1锛氳\ue1ec闂\ue1bd枃鏄岃矾鏂板缓鐨勯噸搴嗚矾瀛︽牎浠婂勾鍙\ue219互鎷涚敓鍚?鍏蜂綋鍒掔墖鑼冨洿鏄\ue219粈涔?鏈熷緟鎮ㄧ殑鍥炲\ue632,2020-04-07,2020-04-07
24,软骨头,2020-04-06,2020-04-07
25,软骨头,2020-04-06,2020-04-07
26,软骨头,2020-04-06,2020-04-07
27,软骨头,2020-04-06,2020-04-07
28,软骨头,2020-04-06,2020-04-07
29,软骨头,2020-04-06,2020-04-07
