序号,诉求,诉求时间,回复时间
1,"我是山东省青岛市黄岛区泊里镇沙岭子村村民郭建山康尼尔环保科技有限公司对我家在沙岭子村的口粮地进行强拆强占，并且在不通知我的情况下把土地附着物十几年树龄的柿树 杨树 桃树 梨树多种树木给毁坏掉。 ??????? 我多次说明可以转让承包权经营权但是要按照国家法律要求以及相关拆迁补偿要求保证本人的基本权益，解决本人的基本生活养老等问题。按照《中华人民共和国土地法》第四十八条规定征收土地应当给予公平、合理的补偿，保障被征地农民原有生活水平不降低、长远生计有保障征收土地应当依法及时足额支付土地补偿费、安置补助费以及农村村民住宅、其他地上附着物和青苗等的补偿费用，并安排被征地农民的社会保障费用。按照《山东省人民政府关于调整山东省征地区片综合地价标准的批复》 鲁政字[2015]286 号规定泊里镇征地价格是62000一亩，又根据鲁自然资字[2020]1 号《关于开展征地区片综合地价调整工作的通知》规定各县（市、区）区片地价上调幅度控制在 20—50%范围内，调整后全省最低区片地价为 6 万元 /亩，也就是泊里镇征地价格在一亩7到10万之间。根据2017年《青岛市征地地上附着物和青苗补偿标准》盛果期果树移植每亩38000-50000元，土筑水渠、水池30-110元/m3?,灌木一年生以上8-16元/墩。本人一亩多口粮地三亩多果园总共四亩多地需要赔偿30-40万。全部种植盛果期果树和一些十年以上杨树，需要赔偿16-20万元。一个土筑水渠、水池，大约200立方米左右，需要赔偿6000-20000元。还有180米左右的荆棘树栅栏，赔偿价格3万元左右。并且其中一亩多口粮地需要解决一人的养老问题，按照国家最低标准替失地农民按当地养老保险标准缴纳15年的养老保险，总价在25万左右，而且在本人未签字未同意的情况下将本人的果树全部损害，两年未见收获，需要额外赔偿两年损失10万元。全部合计总价85-100万元之间。康尼尔环保科技有限公司不肯按法律和相关政策赔偿，只通过泊里镇政府支付一亩七八万元的赔偿价格，本人不同意，青岛康尼尔环保科技公司强拆强占被阻止，更是让镇政府信阳边防派出所出面，将本人强行带入派出所羁押，2020年3月2日到3月12日过连续传唤对本人进行变相羁押超过100小时。为青岛康尼尔环保科技有限公司施工争取时间。这是明显的做黑社会保护伞，国务院公安部严令公安机关不得以任何形式参与征地拆迁等工作当中，黄岛区泊里镇信阳边防派出所却每次参与其中，青岛市黄岛区信阳边防派出所所长袁守强更是玩忽职守，知法犯法，积极参与其中。????希望上级领导重视，依法征地，补偿本人损失。",2020-04-02,2020-04-07
2,信件内容崂山区中韩街道西韩社区，年底村里发钱，标准不统一。我们家小孩前年就把户口拉回村里了，去年说拉的晚了，分不了。今年又说，后拉来的不享受分钱。问他们有什么依据？他们说就这么定的村委就说的算。听其他人说，这些钱很有可能就是故意找理由扣下不发，然后村里的几个干部自己偷着分了。而且同样的情况，村干部还有那些有关系的家里的小孩都享受分钱。请各级纪委、监察委出来查查他们，简直无法无天。而且今年村里卖了地了，好几十亿，怎么管理也不公开，这样下去早晚弄没了。市纪委、省巡视组、中央巡视组、电视台、媒体都看过来。----------------------------------------------------------请明确公开：1.社区党员与居民代表大会时间？2.社区党员与居民代表大会具体内容3.福利发放的标准和办法说不出来，一句话糊弄过去就是有鬼啊 -----、您好，对您反映的问题，崂山区政府进行了落实，西韩社区于2020年1月4日召开社区党员与居民代表大会，大会的具体内容以及福利发放的标准和办法建议到社区咨询。 你们是不是准备这么回答？ ,2020-03-31,2020-04-07
3,即墨区段泊岚镇刘家庄中心社区大胡埠村村民赵鹏在大吕戈庄二村村西借着卖备沙的名义每晚偷沙，在疫情如此严峻的情况下疯狂破坏基本农田30余亩，获利五百余万元，回填用的全部是生活跟建筑垃圾，政府部门可以现场用挖掘机打点取证，（详细地址原来大吕二村民徐大辉的三十万方沙堆转让给了赵鹏，大吕二村民苏常绪承包地北侧，大沽河河坝大吕二村指示牌东100米，大吕二村村民牟森林住所西邻）,2020-03-29,2020-04-07
4,即墨区段泊岚镇刘家庄中心社区大胡埠村村民赵鹏在大吕戈庄二村村西借着卖备沙的名义每晚偷沙，在疫情如此严峻的情况下疯狂破坏基本农田30余亩，获利五百余万元，回填用的全部是生活跟建筑垃圾，政府部门可以现场用挖掘机打点取证，（详细地址原来大吕二村民徐大辉的三十万方沙堆转让给了赵鹏，大吕二村民苏常绪承包地北侧，大沽河河坝大吕二村指示牌东100米，大吕二村村民牟森林住所西邻）,2020-03-29,2020-04-07
5,将近三十年了，村里不给分口粮地。一直跟村里申请，就是不给。我们是农民是土生土长的管家村村民，我们现在要回家种地。要求和其他村民一样要求公平公正的分配土地。,2020-04-01,2020-04-07
6,信件内容崂山区中韩街道西韩社区，年底村里发钱，标准不统一。我们家小孩前年就把户口拉回村里了，去年说拉的晚了，分不了。今年又说，后拉来的不享受分钱。问他们有什么依据？他们说就这么定的村委就说的算。听其他人说，这些钱很有可能就是故意找理由扣下不发，然后村里的几个干部自己偷着分了。而且同样的情况，村干部还有那些有关系的家里的小孩都享受分钱。请各级纪委、监察委出来查查他们，简直无法无天。而且今年村里卖了地了，好几十亿，怎么管理也不公开，这样下去早晚弄没了。市纪委、省巡视组、中央巡视组、电视台、媒体都看过来。----------------------------------------------------------请明确公开：1.社区党员与居民代表大会时间？2.社区党员与居民代表大会具体内容3.福利发放的标准和办法说不出来，一句话糊弄过去就是有鬼啊 -----、您好，对您反映的问题，崂山区政府进行了落实，西韩社区于2020年1月4日召开社区党员与居民代表大会，大会的具体内容以及福利发放的标准和办法建议到社区咨询。 你们是不是准备这么回答？ ,2020-03-25,2020-04-07
7,请问胶东机场拆迁时商业用地每平方补偿标准是多少钱？商业用地拆迁分不分正屋，厢屋？商业用地门头院内的房屋补偿标准是多少？和门头补偿标准一不一样？,2020-04-05,2020-04-07
8,您好，九龙办事处王家滩村正在进行的土地征迁工作，地面附着物已经开始拆除，请问目前已进行到什么阶段？征地公告、村民意见的征询、补偿方案及分配原则等相关流程何时进行？据悉目前因征迁工作的不透明、不公开等原因，已经引起村民的强烈不满且已发生村民聚集事件，也无相关部门部门到场解决处理，群众人心不稳，情绪激动。如不及时、公开、公平、透明的做好群众工作，恐会引发群众聚集、群体上访、网络舆论甚至现场过激行为等不良事件，给我市造成负面影响。望相关部门能够正面积极回应，做到让群众放心满意，实现和谐征迁。,2020-04-03,2020-04-07
9,请问滨海街道办事处峡沟村有没有拆迁计划？,2020-04-01,2020-04-07
10,即墨温泉镇西温泉村什么时间能回迁,2020-04-03,2020-04-07
