序号,诉求,诉求时间,回复时间
1,上级政府最近总提到要扶持小微个体工商户！但是在咱们青岛黄岛怎么没有体现到？？？(扶持)这两个字怎么讲？别说扶持了，我提问过五六次了，连个答复都没有！殷切期望政府有所作为！,2020-04-01,2020-04-07
2,"[""尊敬的领导：您好！我是胶州市中云寺门首路161号（胶州市小马兰州牛肉拉面馆）因本店超出经营售卖了凉菜，胶州市综合执法局要对本店进行处罚。处罚金额是五千到五万 对提交此申请，由于我店在经营中负责人不熟悉餐饮经营相关规定，违反了规定，鉴于属于初次违反，并在查处过程中，对贵局工作人员的查处给予了积极的配合，未造成社会后果。由于疫情影响，我店一直关门歇业，在此期间积极投入抗疫战线，慰问一线防疫人员，得到了社会好评，自复工复产我店自营业以来，因顾客少、经营成本高、利润低，一直处于亏损状态，不能自负盈亏。  本应该本三月一号房租到期了，因今年上几个月店一直亏损状态，到现在也没能交上。 当初我们也是拿着我们当地政府补助无息贷款十万到贵地方青岛市胶州来发展的，到现在也没能还清贷款。我们也非常着急。 对于贵局给予的   元罚款确实无法足额上缴，恳请政府帮助协调给于减免处罚。     '2020年4月2日。  申请人：韩海清""]",2020-04-02,2020-04-07
3,"[""尊敬的领导：您好！我是胶州市中云寺门首路161号（胶州市小马兰州牛肉拉面馆）因本店超出经营售卖了凉菜，胶州市综合执法局要对本店进行处罚。处罚金额是五千到五万 对提交此申请，由于我店在经营中负责人不熟悉餐饮经营相关规定，违反了规定，鉴于属于初次违反，并在查处过程中，对贵局工作人员的查处给予了积极的配合，未造成社会后果。由于疫情影响，我店一直关门歇业，在此期间积极投入抗疫战线，慰问一线防疫人员，得到了社会好评，自复工复产我店自营业以来，因顾客少、经营成本高、利润低，一直处于亏损状态，不能自负盈亏。  本应该本三月一号房租到期了，因今年上几个月店一直亏损状态，到现在也没能交上。 当初我们也是拿着我们当地政府补助无息贷款十万到贵地方青岛市胶州来发展的，到现在也没能还清贷款。我们也非常着急。 对于贵局给予的   元罚款确实无法足额上缴，恳请政府帮助协调给于减免处罚。     '2020年4月2日。  申请人：韩海清""]",2020-04-02,2020-04-07
4,老百姓只能依靠和求助中国共产党和人民政府帮助解决问题，也只有党和人民政府及各位书记，市长能帮助解决。我多次写信，不知何原因，至今未有音信。3月20日青岛日报又刊登三我活动详情和政法委书记宋永祥讲话，关健谁来管，谁来落实。当前基层最大腐败是教条主义(言行不一)形式主义(未见效果)霸气的官僚主义(掌握某种权力)属地管理(是某种保护伞)谁敢监督问责，我曾经历过，我说实话，也有证据。,2020-04-03,2020-04-07
5,老百姓只能依靠和求助中国共产党和人民政府帮助解决问题，也只有党和人民政府及各位书记，市长能帮助解决。我多次写信，不知何原因，至今未有音信。3月20日青岛日报又刊登三我活动详情和政法委书记宋永祥讲话，关健谁来管，谁来落实。当前基层最大腐败是教条主义(言行不一)形式主义(未见效果)霸气的官僚主义(掌握某种权力)属地管理(是某种保护伞)谁敢监督问责，我曾经历过，我说实话，也有证据。,2020-04-03,2020-04-07
6,你好，我是一个护士，在青岛智信医疗有限公司的一家诊所工作，在四月初离职，我是从2019年7月份入职，在年底前我一个月有时候就休一天半天辛苦攥下了的假，是想着有事用或者出去玩两天，但在年底我们诊所要搬家实在顾不开人手所以就算有事我也都推了一直没有休息！疫情期间我们都没有防护措施戴连医用口罩都不是的口罩接病号开药，二月份公司通知双休了三个周（我本来是单休），然后我想休我之前的假期公司说年前有假的全抵在双休里了！后因为一些其他原因我离职了，离职的当天公司才让我签入职劳动合同！四月份发二月份的工资结果发现给我扣了600块钱，公司说因为这个月双休所以扣钱，但我就算用我的假抵消了我的假还余下好几天！真的太气愤公司在这欺负人！拜托帮我讨个说法吧！谢谢！,2020-04-07,2020-04-07
7,你好，我是一个护士，在青岛智信医疗有限公司的一家诊所工作，在四月初离职，我是从2019年7月份入职，在年底前我一个月有时候就休一天半天辛苦攥下了的假，是想着有事用或者出去玩两天，但在年底我们诊所要搬家实在顾不开人手所以就算有事我也都推了一直没有休息！疫情期间我们都没有防护措施戴连医用口罩都不是的口罩接病号开药，二月份公司通知双休了三个周（我本来是单休），然后我想休我之前的假期公司说年前有假的全抵在双休里了！后因为一些其他原因我离职了，离职的当天公司才让我签入职劳动合同！四月份发二月份的工资结果发现给我扣了600块钱，公司说因为这个月双休所以扣钱，但我就算用我的假抵消了我的假还余下好几天！真的太气愤公司在这欺负人！拜托帮我讨个说法吧！谢谢！,2020-04-07,2020-04-07
8,你好，我是一个护士，在青岛智信医疗有限公司的一家诊所工作，在四月初离职，我是从2019年7月份入职，在年底前我一个月有时候就休一天半天辛苦攥下了的假，是想着有事用或者出去玩两天，但在年底我们诊所要搬家实在顾不开人手所以就算有事我也都推了一直没有休息！疫情期间我们都没有防护措施戴连医用口罩都不是的口罩接病号开药，二月份公司通知双休了三个周（我本来是单休），然后我想休我之前的假期公司说年前有假的全抵在双休里了！后因为一些其他原因我离职了，离职的当天公司才让我签入职劳动合同！四月份发二月份的工资结果发现给我扣了600块钱，公司说因为这个月双休所以扣钱，但我就算用我的假抵消了我的假还余下好几天！真的太气愤公司在这欺负人！拜托帮我讨个说法吧！谢谢！,2020-04-07,2020-04-07
9,尊敬的市北区政府领导您好:我2019年8月30日入职青岛城市建设集团下属公司青岛城建物业管理有限公司市北区劲松三路22号青岛印象山小区上班入职第一天在我不知道的情况下签了两只纸，后来每天上班十二个小时 节假日正常上班也没有三倍工资礼拜六日也上班 就给了每月休息四天 而且每天上班也不给加班费严重超出劳动法规定时间，我上班六个月时间里也没有签合同 天天上班十二个小时 节假日上班也不给三倍两倍工资加班费等等  辞职和财务要辞职证明也不给说废纸一张，于是我去了市北区劳动仲裁申请了仲裁不过立案后迟迟不开庭这让人都怀疑里面是不是有啥猫腻什么的，请市北区政府以公平公正无私来处理这件事，,2020-04-06,2020-04-07
10,刚刚电话号码给错了  还是询问 办理劳务派遣经营许可证 需要什么材料 谢谢,2020-04-05,2020-04-07
