序号,诉求,诉求时间,回复时间
1,领导好      从去年开始，我在李沧区第三人民医院就诊过程中多次发现，医生（不止一个）会开一些医院没有的药方，并告知医院门口对面的百洋药店有售，且价格昂贵。此行为是否合理，望领导予以解答。    ,2020-03-30,2020-04-07
2,今年三月在青医附院坐了结肠癌手术，确诊结肠恶性肿瘤，想咨询下 办理因病退休需要什么手续  需要符合什么条件,2020-04-03,2020-04-07
3,我是一名7个月幼儿的父亲，幼儿疫苗归属于闽江路社区卫生服务中心。因肺炎疫情影响，青岛市的疫苗接种都拖延了，我可以理解。但是我在疫苗接种处恢复正常工作以后，至闽江路社区卫生服务中心疫苗接种处预约时，工作人员二话不说，直接预约在一个月以后打疫苗，说已经约满了。然而我孩子的百白破疫苗已经超过4个月没有续种了，肯定失效了，需要重新种。工作人员态度恶劣，摆明了是吃拿卡要，说他们约满了，可是接种处的几名工作人员，上午不接电话，下午就聚在一起吃零食聊天说笑。请问，新冠肺炎当前，国家斥巨资抗击疫情，还有这么一群国家的蛀虫，拿着国家的编制和工资，吃拿卡要，抛弃了为人民服务的宗旨，整天混日子，这还是党和政府管理下的卫生机构吗？祖国的未来，不接种好疫苗，难道是觉得这次肺炎疫情不够猛烈吗？我要求疫苗接种处，重新预约幼儿疫苗接种的时间，适当增加每天的接种量，因为我去过很多次，闽江路社区卫生服务中心疫苗接种处的几个人永远在谈笑风生，没有一点工作忙碌的样子。,2020-03-30,2020-04-07
4,个人怎么订购口罩？,2020-04-04,2020-04-07
5,孩子发烧找他推拿看看发现这个人就是个骗子，无证行医，欺骗小孩，孩子去了五六次没有好转，现在烧的住院了，其他家长也遭受了雷同的罪，这个人看不到还骂人，还不退钱，无良庸医,2020-03-29,2020-04-07
6,请领导们查营业执照，这家店是个黑店，医生无医师资格证开门诊，天天打着孩子的旗杆推拿，推销粉末药品给家长，推荐的中药粉末没有医药准字号，让家长和宝宝遭受额外的罪,2020-03-29,2020-04-07
7,市区有两个山大医院两个市立医院，西海岸有军民融合医院，胶州有同济大学附属医院，城阳有健康中心和国科大学附属医院，李沧有什么什么好的三级甲等医院？,2020-03-29,2020-04-03
8,请问市北区自费疫苗定价标准？我们了解到市北区13价疫苗每针840元，市南区722元，五联疫苗市北区每针727元，市南区每针622元，请问定价都比市南区贵的原因是什么呢？定价标准参考的是什么呢？,2020-04-02,2020-04-03
9,湖北回青，市南区哪家医院检测核酸。,2020-04-01,2020-04-03
10,宝宝在城阳莲池妇婴医院出生，第二天由于宫内感染办理住院，在icu住了6天，结算后办理医保卡后不报销。,2020-03-27,2020-04-03
11,青岛妇女儿童医院医生态度服务差，一天换两个医生挂两次号，很不合理！我们想一天把病看完，上午挂号了看病拍片，下午换了医生就必须重新挂号！而且态度不好，建议有关部门调查清楚,2020-03-23,2020-04-02
