序号,诉求,诉求时间,回复时间
1,海信悦华里二期物业拒收水费，私自停水，,2020-04-01,2020-04-07
2,全国企业都在推进复工复产，复产已无需备案，即墨区鳌山卫街道为什么还要求企业报表,2020-04-03,2020-04-07
3,诺贝尔山庄建于2003年  小区共有南大门  小北门  东门  消防通道  其中能走车辆的是南大门和消防通道  其他两个门只能走行人  2020年有人致小区全体居民安全不顾私自占用围堵南大门  严重影响交通  存在安全隐患  希望有关部门尽快处理事件  还诺贝尔山庄全体居民公道,2020-04-01,2020-04-07
4,我们小区的消防通道不知被谁私自售卖，现在小区这边没有消防通道只有一个能进出车的门，其余的只能走人，安全隐患极大，对业主的生命安全不负责，之前答应业主的老年活动中心，也一直没有动静，现在小区里乱糟糟的没有路灯没有监控，楼梯都是业主自己收拾，希望有关部门重视一下这个问题，为业主的安全也为市区的建设，谢谢。,2020-03-30,2020-04-07
5,请公开高新区华贯路世茂公园美地小区物业是否取得停管办收费资质或收费备案，谢谢,2020-04-07,2020-04-07
6,我求助信已经发到各部门信箱很久，却全无音讯，希望能得到回复,2020-04-07,2020-04-07
7,我是2018年3月在位于李沧区的青岛蓝城春风里全款买了一套商品房，房屋合同、手续、票据均齐全。2020年2月，开发商陆续组织交房，由于受疫情影响，房子3月中旬尚未完全交付。3月24日，接到小区物业告知，我的房子被烟台市中级人民法院和青岛市中院查封了。据《公告》（见附件）称，原开发商（青岛智善置业，青岛蓝城接盘前的开发商）与烟台国合集团存在债务纠纷，蓝城春风里的154套房产被查封，我的房子在其范围内。我想请问，我合法合规在开发商手里买的房子，如果房子产权有问题，监管部门的职责履行到哪里去了？我花光所有积蓄买了房子，与开发商依规签订合同，说查封就查封，到现在为止，开发商不管不顾，业主的合法权益谁来维护？蓝城春风里能够在市面上正常销售，连房屋产权都存在问题，有关部门的监管在何处？现在，我们买了新房，不敢装修，不敢居住，生怕一辈子的积蓄打水漂，房子到现在没个着落，老百姓的幸福感、获得感、安全感谁来维护？希望有关部门尽快答复。,2020-03-31,2020-04-07
8,毕市长您好！很抱谦打扰您于百忙之中，实迫于无奈，需为全体业主发声咨询：    1、紫城御都小区地上公共区域（非专用车库空间）被划成停车位，物业或开发商将此车位对外出售，请问此类车位产权是属于开发商或物业？还是属于全体小区业主共有？法律依据是什么？如果此类车位本属于小区业主共有，但开发商或物业却以非法占有为目的，虚构产权属于他们自己的事实，欺骗业主购买，非法所得数额巨大，是否涉及诈骗犯罪？    2、小区业主驾车回小区内部（有一个停车位，家里第二辆车要进入小区回家），小区物业是否有权力阻止？如果小区物业有权力阻止，请问法律依据是什么？如果没有权力阻止而阻止，应该追究小区物业什么法律责任？    3、业主反映，小区物业保安收受车位出售（炒车位人员）数额较大好处费，故拼命阻拦业主驾车回小区，小区物业保安是否涉及商业贿赂犯罪？    4、鉴于，小区物业（重点是保安人员）与业主多次发生冲突，如果小区业主要撤换小区物业，请问应该怎么办理？应该寻求哪个部门的指导？    打扰领导！盼复!,2020-04-04,2020-04-07
9,领导好！胶东首府小区外面（北面）有车位在出售。请问：这个车位是合法的吗？有没有独立产权？有没有经过规划部门批准？售价需不需要经过物价部门批准？,2020-04-05,2020-04-07
10,尊敬的领导，您好！我想咨询一下位于即墨区钱崮山一路76号附近的众和城小区是大产权房吗？有房产证吗？谢谢。,2020-04-05,2020-04-07
11,诺贝尔山庄小区道路破损、外墙老化无保温层、绿化率低，乱搭乱建严重，严重影响了居民生活水平；小区无路灯无监控无车位，居民安全无法得到保障；请问诺贝尔山庄小区是否在2020年老旧小区改造之列？,2020-04-03,2020-04-07
12,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
13,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
14,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
15,"请问城阳区现在的共有产权住房,第四层次人才购买后能不能享受一次性安家费政策补贴呢,谢谢",2020-04-05,2020-04-07
序号,诉求,诉求时间,回复时间
16,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
17,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
18,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
