序号,诉求,诉求时间,回复时间
1,我万科青岛小镇二期联排，有房。房产证权利性质为住宅，2014年交房后，一直未装修，没居住。物业收全部物业费。能免交部分物业费用吗？找过万科物业公司，物业答复联排别墅不免，可房产证上写的是。住宅，居住。根本没有写，联排别墅。请答复！谢谢！,2020-04-02,2020-04-07
2,204（洋河崖桥至姜家洼子段）改造工程（一期）工程内容包括G204改道工程，石灰窑桥拓宽改造工程、薛家庄南桥拓宽改造工程三部分。G204改道工程起点为环台东路与S328黄张路交叉口，沿原环台东路线位向南，在环台东路与环台南路交叉口转向西，沿原换台南路线位，终于环台南路与原204国道平面交叉口，公路全长约3.58km，按照一级公路标准设计，设计速度80km/h，路面宽25.5m，红线宽33.5m，双向四车道，沥青混凝土路面。沿线敏感点有天龙花园（86.5m）、石梁杨村（117m）、阳光学苑（42.5m），沿线水体为错水河（40m，不穿越河流，位于错水河西侧200m范围内，饮用水水源二级保护区）。薛家庄改造方式为拆除现状右幅拱桥（宽7.5m）后原址新建13.5m的右半幅；并于原左幅桥左侧拼宽5.5m；建成后桥宽27m，桥梁长82.6m。项目跨越巨洋河（已调整为景观用水）石灰窑桥改造方式为于原左幅桥左侧拼宽17m；建成后桥宽34m，桥梁长52m。周边的敏感点主要是石灰窑北村（3m）、石灰窑西村（20m）、石灰窑东村（20m）；项目跨越巨洋河（已调整为景观用水）。项目总投资20429万元，其中环保投资约310万元。周边的敏感点主要是石灰窑北村（3m）、石灰窑西村（20m）、石灰窑东村（20m）你们怎么量出来的？ 办理流程2020/3/6 青岛市生态环境局办公室（信访） 接收并查看了此信件。2020/3/17 青岛市生态环境局办公室（信访） 发布了此信件的答复信息。答复部门市生态环境局答复时间2020/3/17答复信息您好，感谢您对生态环境工作的关心和支持！从项目环评单位了解到，关于项目离敏感点的具体距离，是环评单位根据桥梁设计图纸并聘请专业单位现场测量得出的。 请问是哪家专业单位？他们什么时间到现场测量的？石灰窑东村在哪儿？他们怎么量出来的20米？石灰窑北村在哪儿？他们怎么量出来的3米？石灰窑西村在哪里？他们怎么量出来的20米？去年起我多次反映这份环评存在很多错误，你们为什么置之不理？你们为什么不去现场调查？ 办理流程2020/3/19 青岛市生态环境局办公室（信访） 接收并查看了此信件。2020/3/27 青岛市生态环境局办公室（信访） 发布了此信件的答复信息。答复部门市生态环境局答复时间2020/3/27答复信息您好，感谢您对生态环境工作的关心和支持！我局黄岛分局日已对《青岛西海岸新区交通运输局G204（洋河崖桥至姜家洼子段）改造工程（一期）环境影响报告表暨饮用水水源保护区环境保护专章》进行了批复，该项目环评内容包括G204改道工程，石灰窑桥、薛家庄南桥2座桥梁拓宽改造工程三部分。根据环评报告以及申报材料，石灰窑桥扩宽新建半幅桥梁工程西边界距离石灰窑西村最近民房边界3m，石灰窑桥扩宽新建半幅桥梁工程东边界（新桥和老桥交接线处）距离石灰窑北村最近民房20m，石灰窑桥扩宽新建半幅桥梁工程东边界（新桥和老桥交接线处）距离石灰窑东村最近民房20m。根据《建设项目环境影响报告书（表）编制监督管理办法》，“第三条建设单位应当对环境影响报告书（表）的内容和结论负责；技术单位对其编制的环境影响报告书（表）承担相应责任”。为确保环评报告信息准确，我局再次与项目环评单位对接核实，经了解，在环评编制阶段，区交通运输局提供了“204国道（洋河崖桥-姜家洼子）段改造工程初步设计-石灰窑桥桥位布置图（带矢量坐标测绘底图）” （山东省交通规划设计院出具），敏感点与本工程距离等信息资料在设计图上读取，环评单位同时现场采用测距仪进行了测量。请您留下具体联系方式，便于我局了解项目具体位置，核实相关情况。 环评上写的：周边的敏感点主要是石灰窑北村（3m）、石灰窑西村（20m）、石灰窑东村（20m）；项目跨越巨洋河（已调整为景观用水）。你们回复的：石灰窑桥扩宽新建半幅桥梁工程西边界距离石灰窑西村最近民房边界3m，石灰窑桥扩宽新建半幅桥梁工程东边界（新桥和老桥交接线处）距离石灰窑北村最近民房20m，石灰窑桥扩宽新建半幅桥梁工程东边界（新桥和老桥交接线处）距离石灰窑东村最近民房20m。石灰窑三个村在哪里你们都没弄清楚，石灰窑西村离204国道是3米还是20米？石灰窑北村离204国道是3米还是20米？石灰窑东村到底哪里？现在正在施工的路段离两侧民房距离更近，你们如何保证现在办环评就能没有错误？ ,2020-04-04,2020-04-07
3,路面破损严重，无路灯，无监控，楼体上面墙皮脱落严重，业主出行存在安全隐患，外墙无保温，业主出行通道被非法占用被堵，望有关部门领导积极协调把问题给彻底圆满解决，谢谢！,2020-03-30,2020-04-07
4,1，没有公示牌；2，扰民；3，大约一半的工程是形象工程；4，有的材料是不符合标准。工程还没完工，我们拭目以待。,2020-04-01,2020-04-07
5,青岛政府工作人员您好，我现在举报我被青岛保利地产的保利天汇楼盘“店大欺客”“欺诈经营”“强制我消费”的过程。我是青岛保利天汇的5号楼一单元业主王宗国，2019年6月30号我购买了保利地产宣传的“天字系”的所谓高端楼盘的房产。同年12月保利天汇通知我可以选购车位了，会在12月12日交钱选购，将按照交钱的顺序选购车位。12月12日我一大早就去保利天汇位于青岛市北区长沙路18号的售楼处排队等待交钱买车位，就是为了能够选择一个好位置。到了售楼处后，售楼处工作人员告诉我们，现在还没有车位的公示图和位置图等，现在只是购买预授权，也将按照排队交钱的顺序选择车位。就这样我排在了第六个交了29.5万的所谓“车位费”，给我们开具了一个普通收据，并按照售楼处要求签了几份“车位协议”，签完之后，售楼处突然通知我们说，因为他们的公章没有在那里，所以要把我们的协议现留在他们那里，盖好公章让我们去取（现在想想，只是签了我自己的名字，万一售楼处修改了其中的内容怎么办，但是当时想买一个好的车位的心切，也就听从了他们），直到现在我也没有收到这份“协议”。直到三个多月后的2020年3月20日左右，保利天汇售楼处通知我，在3月25日可以选车位了，但是并不是按照他们当初承诺的按照交钱顺序选择车位，而是登录他们一个叫“悦家云”公众号的抢房系统，下午1：00的时候统一在上面几百户业主统一抢购（这完全违背了他们当初按照交钱顺序选择车位的承诺）。直到3月23日，他们建立了一个“保利天汇三期车位开盘”群，通知我们车位具体情况，通知里面说“人防”车位是要20年一续签，只有非人防车位才是“70年使用权”。我看了一下我们可以选择的5号楼一单元的负一层的车位，一半是在人防位置，而且他们通知说标准车位是5.3米*2.4米的，如果选择5.1*2.4米的小车位也不会退差价，但是如果选择比标准车位大的车位需要补交钱（我想问，这是什么霸王条款逻辑？）。这个情况保利天汇售楼处并没有在2019年12月12日的时候告知我们（因为“人防”的车位在法律上是不能出售的）。可以选择的车位非人防车位所剩无几。我在3月24日找到售楼处的销售顾问彭某表达了我的这种疑问，我表示如果是选不到我合适的车位我将申请退款。3月25日下午1：00，本身不想再选择这些车位的我，非常勉强的在他们的“悦家云”公众号进行抢车位，但是开始后，他们系统居然在开始后“卡”住了，不能进行操作，当不再卡时，我回他们的公众号一看，我想选择的车位都被抢没了，剩余的一些车位大多数是带有不利因素的了或位置极差的了。这时售楼处打来电话让我选择负二的车位，但是我交的钱是负一层的车位预订金啊，这时也已经过了半个小时选择时间了。我要求他们售楼处工作人员给我退款，我不想买了，因为没有我想要的车位了。但是遭到他们的拒绝，说退不了，必须要选一个（这不是强制我消费吗？），带着疑惑，我找到了他们的销售顾问彭某，也提出了我的退款要求，但是被拒绝，也说退不了。我再次跟他们协商，看看能不能以较优惠的价格卖给我一个5.1*2.4的小车位，（因为我觉得买东西讲价很正常嘛，而且要买一个不符合价值的车位，肯定要优惠一些）。销售顾问彭某在3月30日晚上打电话找我说，他们销售总监想找我协商一下，让我们在3月31号见面聊一下。31日上午9：30左右我到了保利天汇售楼处二楼，跟他们的销售总监高某（女）见面协商，她给我推荐几个靠墙的，而且有“标记”不利因素的车位，我不能接受这样到车位。要求他们退钱给我，他们销售总监高某说不能退，如果执意退款至少“扣”我5000元钱，我这是实在不能接受的，如果这样说，我是不是也应该要求保利天汇给我支付这三个月的“利息”？从最开始保利天汇售楼处没有公示“车位图”就让我们交钱，到后来公示后有很多不利因素的车位让我们去选择，这就本身属于售楼处“欺诈经营”了，又到后来的没有按照他们承诺的“按照交钱顺序选择车位”，又到不给退车位预订金，到现在的退款就“扣”我钱，我想问一下保利天汇售楼处，你们这不是“店大欺客”吗？我的全额退款需求符合消费者权益法，我也没有向你们提出其他过分要求，为什么就不能把我的钱退还给我？作为从外地来的一个“新”青岛市民，我表示很难过，本身我是冲着青岛市委书记王清宪书记的“学深圳，赶深圳”的口号满怀信心来青岛工作并购买保利所谓的,2020-04-01,2020-04-07
6,青岛政府工作人员您好，我现在举报我被青岛保利地产的保利天汇楼盘“店大欺客”“欺诈经营”“强制我消费”的过程。我是青岛保利天汇的5号楼一单元业主王宗国，2019年6月30号我购买了保利地产宣传的“天字系”的所谓高端楼盘的房产。同年12月保利天汇通知我可以选购车位了，会在12月12日交钱选购，将按照交钱的顺序选购车位。12月12日我一大早就去保利天汇位于青岛市北区长沙路18号的售楼处排队等待交钱买车位，就是为了能够选择一个好位置。到了售楼处后，售楼处工作人员告诉我们，现在还没有车位的公示图和位置图等，现在只是购买预授权，也将按照排队交钱的顺序选择车位。就这样我排在了第六个交了29.5万的所谓“车位费”，给我们开具了一个普通收据，并按照售楼处要求签了几份“车位协议”，签完之后，售楼处突然通知我们说，因为他们的公章没有在那里，所以要把我们的协议现留在他们那里，盖好公章让我们去取（现在想想，只是签了我自己的名字，万一售楼处修改了其中的内容怎么办，但是当时想买一个好的车位的心切，也就听从了他们），直到现在我也没有收到这份“协议”。直到三个多月后的2020年3月20日左右，保利天汇售楼处通知我，在3月25日可以选车位了，但是并不是按照他们当初承诺的按照交钱顺序选择车位，而是登录他们一个叫“悦家云”公众号的抢房系统，下午1：00的时候统一在上面几百户业主统一抢购（这完全违背了他们当初按照交钱顺序选择车位的承诺）。直到3月23日，他们建立了一个“保利天汇三期车位开盘”群，通知我们车位具体情况，通知里面说“人防”车位是要20年一续签，只有非人防车位才是“70年使用权”。我看了一下我们可以选择的5号楼一单元的负一层的车位，一半是在人防位置，而且他们通知说标准车位是5.3米*2.4米的，如果选择5.1*2.4米的小车位也不会退差价，但是如果选择比标准车位大的车位需要补交钱（我想问，这是什么霸王条款逻辑？）。这个情况保利天汇售楼处并没有在2019年12月12日的时候告知我们（因为“人防”的车位在法律上是不能出售的）。可以选择的车位非人防车位所剩无几。我在3月24日找到售楼处的销售顾问彭某表达了我的这种疑问，我表示如果是选不到我合适的车位我将申请退款。3月25日下午1：00，本身不想再选择这些车位的我，非常勉强的在他们的“悦家云”公众号进行抢车位，但是开始后，他们系统居然在开始后“卡”住了，不能进行操作，当不再卡时，我回他们的公众号一看，我想选择的车位都被抢没了，剩余的一些车位大多数是带有不利因素的了或位置极差的了。这时售楼处打来电话让我选择负二的车位，但是我交的钱是负一层的车位预订金啊，这时也已经过了半个小时选择时间了。我要求他们售楼处工作人员给我退款，我不想买了，因为没有我想要的车位了。但是遭到他们的拒绝，说退不了，必须要选一个（这不是强制我消费吗？），带着疑惑，我找到了他们的销售顾问彭某，也提出了我的退款要求，但是被拒绝，也说退不了。我再次跟他们协商，看看能不能以较优惠的价格卖给我一个5.1*2.4的小车位，（因为我觉得买东西讲价很正常嘛，而且要买一个不符合价值的车位，肯定要优惠一些）。销售顾问彭某在3月30日晚上打电话找我说，他们销售总监想找我协商一下，让我们在3月31号见面聊一下。31日上午9：30左右我到了保利天汇售楼处二楼，跟他们的销售总监高某（女）见面协商，她给我推荐几个靠墙的，而且有“标记”不利因素的车位，我不能接受这样到车位。要求他们退钱给我，他们销售总监高某说不能退，如果执意退款至少“扣”我5000元钱，我这是实在不能接受的，如果这样说，我是不是也应该要求保利天汇给我支付这三个月的“利息”？从最开始保利天汇售楼处没有公示“车位图”就让我们交钱，到后来公示后有很多不利因素的车位让我们去选择，这就本身属于售楼处“欺诈经营”了，又到后来的没有按照他们承诺的“按照交钱顺序选择车位”，又到不给退车位预订金，到现在的退款就“扣”我钱，我想问一下保利天汇售楼处，你们这不是“店大欺客”吗？我的全额退款需求符合消费者权益法，我也没有向你们提出其他过分要求，为什么就不能把我的钱退还给我？作为从外地来的一个“新”青岛市民，我表示很难过，本身我是冲着青岛市委书记王清宪书记的“学深圳，赶深圳”的口号满怀信心来青岛工作并购买保利所谓的,2020-04-01,2020-04-07
7,市北区青岛装饰城什么时候开始拆迁？中粮大悦城二期商业综合体什么时候拿地开工建设？预计什么时候建成营业？,2020-03-26,2020-04-07
8,胶平路维修是件好事，但是光光围起来不修，就不是件好事了，一下子能修十几里路？那真称中国速度了。你看看上下班堵得大家还有法通行。去年北外环修路，也没有出现这种情况，不就是围一下修的那段就行了。还用堵十几里的路。真不知道谁的馊主意。不用管老百姓的生活了！！！！！！！！！！！！！！！,2020-04-05,2020-04-07
9,领导您好，本人是珊瑚湾八期64#楼2单元402户业主，于2019年10月18日与北科建开发商交接房屋，交接后把存在一系列房屋质量问题详细记录在与物业的交接单上，其中几项集中整改问题业主多次与物业搭桥联系北科建，该甲方有关责任方始终以各家精装修分包扯皮与回避态度一拖再拖，给甲方发函也一直没有回复！房屋出现了如此等等质量问题，在急等入住情况下，家具等一系列软装进场都造成了很大程度的延误，间接导致无法正常居住。希望有关领导抛去疫情层面，对此问题引起重视。解决我们的后顾之忧。上述情况我们已拍照，请求领导尽快给予答复，我会一直上访，直至问题得到解决！,2020-03-24,2020-04-07
10,有关部门论证好多年了，至今没见动工迹象。这几年其它公园都搞得有声有色，唯独青年湖还没有整治提升。,2020-04-05,2020-04-07
11,传说清华附中选址可能要变，鲁商，招商，紫荆阁等附近楼盘也不少啊。看到官网的答复开始模糊不清了，前期不是论证了吗？这个也能变？因为会哭的孩子有糖吃？这会儿轮到我们哭了。别的地可以建和规划自己的配套学校，为什么要抢和来变化原先规划好的。我们怎么办怎么办，到现在也没开工，要耽误孩子上学了。,2020-04-01,2020-04-07
12,1、请问2020年是否可启动青岛大学胶州校区的建设，目前难题解决是否有新进展？谢谢！2、现在全面复工复产，请问重点项目华红湾项目是否有新的进展，2020年是否可开工建设？谢谢！,2020-04-06,2020-04-07
13,建议对新都心那个小山坡（和达城上城东边），好好的治理一下给周边的市民一个健身游玩的地方。这个山坡的北边都打造的挺好的，就南边这一块没怎么弄，周边的市民都没有可去的地方，可游玩的地方，建议将南北向打通，从南边可以到北边去溜达溜达也行。,2020-04-03,2020-04-07
14,海怡嘉园小区有两个物业，小区内停车困难，但是我认为停车有很大的提升空间，后排高层间有个停车场没有好好的规划车位，规划好可以多停一排车，消防通道太窄而且一路都有车停，建议把水泥路牙石砸掉。还有那个人工湖都没用了，希望小区停车问题都好好设计设计。,2020-04-07,2020-04-07
15,想咨询下，开发区现在渭河路和团结路(前湾港路口以北）路口很差，有没有计划整修？,2020-04-06,2020-04-07
序号,诉求,诉求时间,回复时间
16,以后想在跨海大桥另一端买套房子，但是现在这个区域全是工厂和大车，总是看到那个区域的新闻为啥就是雷声大雨点小，那个区域的企业是整体迁移/还是什么时候用什么时候拆。1:多久能实现桥头堡区域企业全部迁移 2:多久会开发商品房。商业地段主要在桥头堡哪个区域。,2020-03-27,2020-04-07
17,三个村计划不拆了嘛，资金怎么不到位,2020-04-05,2020-04-07
18,市长你好，提一个建议在青岛开发区辛安上庄与龙湖地产东面紧邻一条南北路，一条经上庄社区经锦色漫山的路，可能叫科大一号线。一号支线这条路是一条新修路。路上的路灯隔一个亮一个，有时候隔好几个亮一个，这附近住了10几万居民学生。特别是司机路灯一段明一段暗的严重的威胁到了驾驶安全。开通不到一年，撞死一个人，也撞伤过人 ，也出过好几次车祸。强烈要求把路灯全部开启。别隔一个开一个。隔几个开一个。严重影响了司机的视线安全,2020-03-30,2020-04-07
19,珠山路以西风河北岸河堤啥时候能给安上个路灯，风河好歹是胶南的一条较大较特色的入海河流，光公园那边晚上有灯，如果北岸都按上灯难道他不香吗？,2020-04-04,2020-04-07
20,最近欢乐滨海城在建的琴海湾小区施工围挡占用昌喜路和瑞湖路的人行道，阻碍行人通行。,2020-03-29,2020-04-07
21,市长你好提一个建议，黄岛辛安科大一号线，就是西洞门村西到致远中学那条路，再就是通往龙湖二期上庄社区那条路。绿化的绿化带做的太垃圾了。乱糟糟的。全部种了一些小秧苗。种的乱七八糟的。行道树那个树干也不直溜。还七高八矮的。绿化完了给人一种感觉影响市容。还不如不绿化。,2020-03-28,2020-04-07
22,您好 请问一下在华东路融创壹号院东面 世茂三号院南面 河东路北面 说是要建一块教育用地，请问 到什么进度了,2020-03-24,2020-04-07
23,尊敬的领导:2017.11月份，我在东方时尚售楼处购买新房一套，并按第二套房的比例缴纳首付款，并承诺在年底前办理网签手续。当时这套房在我名下属于第二套房。我多次催促东方时尚工作人员给我办理网签手续，他们一再推托，后来一位姓李的经理保证“12月份一定给办理”，12月份过了，“保证”只是一句空话。我因牵扯到一套顶账房很着急，不厌其烦地继续催促，李经理再次重重承诺“一月份一定给办理好，并用人格保证”，但一月份还是没给办理。年关了，我的顶账房因牵扯到人工费等问题，需要办理付款结账过户等手续，不得不办理。这样，东方时尚这套房就由原来的第二套房变成了我的第三套房，第三套房个税高、需全款，压力山大，没办法，我提出了“更名到儿子名下”的请求，售楼处工作人员答复，请示后再告诉我，说一般没问题，态度很好。可是儿子的身份是学生，贷款不好办，此事一直拖到5月份，在6月7号还发短信去办手续，要求我交全款，我东挪西借好容易筹足钱交上了全款。交了全款后我才知道售楼处的工作人员根本没在4月份国家新政策出台实施之前给更名上报，但还一再欺瞒我，6月份还向我要资料，我也不懂，有要必应。这样由于售楼处工作人员的再三拖延、失误，直接导致随着国家政策的改变让我失去了享受满两年即可上市售房的资格，现在是要满5年，所以我要求东方时尚减免我三年的物业管理费。为办理网签手续我打过无数次电话，跑去售楼处N趟，耽误了许多时间，结果因他们的错误让我付出代价，我和东方时尚交涉多次，希望他们能有所担当，让一步，但他们不予理睬。无奈，我拨打了12345，12345将这事分配到房管中心市场管理科，市场管理科着张姓工作人员处理。张姓工作人员，不听从我们的任何举证和诉说，偏袒东方时尚，不予处理。时至今日，我已打过100次左右电话了，仍然无果，忘有关领导能为民伸张正义，给我们一个合理的处理结果！诉求如下:1.东方时尚售楼处恢复2年限售2.追查市场管理科不作为，乱作为，假作为。,2020-04-01,2020-04-07
24,黄岛区辛安街办团结路与前湾港路口交汇处两侧绿化带拆除了，是否要拓宽道路；此地同步在地铁施工，请问地铁6号线港头站在哪？谢谢！,2020-03-28,2020-04-07
25,2019年1月份开始，青岛市城阳区流亭街道东女姑山社区在未取得土地证的情况下，私自在青岛市城阳区流亭街道丰海路西端南侧的国有土地上，以旧村改造的名义违规开建房地产。该社区的行为，不仅严重违反国家法律，侵占国有土地，同时建设也给周边群众带来极大不便：一是大量渣土车在周边道路上横冲直撞，危及行人安全；二是该社区的施工未能依照相关规定做好防尘、防噪措施该周边带来大量粉尘、噪音污染，三是该地块周边几百米内既有住宅也有大学和幼儿园，影响极其恶劣；四是该社区运来大量生活垃圾进行回填，严重污染土壤、空气和周边水源（该项目距离胶州湾海岸线仅有三百米左右的直线距离）。希望领导能及时予以调查，制止这种违法乱纪的行为。,2020-04-03,2020-04-07
26,西元庄一期，七期，硕丰苑小区，b区，所有绿化要旱死了，没有人看到吗？物业干啥吃呢？居委会网格员上报情况报哪去了？,2020-04-07,2020-04-07
27,西元庄四期，硕钧苑小区，所有绿化要旱死了，没有人看到吗？物业干啥吃呢？居委会网格员上报情况报哪去了？,2020-04-07,2020-04-07
28,沧口下街很多小路无路名，像越秀星汇蓝湾一期南门的路，海怡新城各小区之间的路(也无路灯)，尚街北面的路等。望起上名，便于管理查找,2020-03-30,2020-04-07
29,越秀星汇蓝湾二期无景观石，只剩些大草原和杂草及低矮瘦小稀疏冬青，小区太差了，简直在糊弄!草坪边缘也无小栅栏阻挡行人进入草坪及防止下雨时泥土流出，结果就是绿化带上到处都被人踩出路。有些地方放了大木棍及拉上绳子，象征性的挡一下，又丑又存在安全隐患。这是偷工减料的设计结果。应该在边缘都种上高大冬青或树木，或装上小栅栏，像一期那样，绿植多，根本就无路可走，不会乱踩出路。望政府督促开发商和物业改善。,2020-03-30,2020-04-07
30,胶州新城玺樾云璟南区项目，我们的房子是精装修房屋，但交付后发现问题及其之多，开发商答复就是维修，到现在为止还在维修，很多问题未解决，我们买精装房就是为了入住，他们这样维修耽误了我们入住，维修期间费用怎么算？物业费怎么算？请政府监督给我们合理赔偿！另物业服务十分差，物业领导如没有管理五星级小区的经验请新城赶紧更换，这物业也叫服务吗？这是奔着不让业主交物业费去的。,2020-03-27,2020-04-07
序号,诉求,诉求时间,回复时间
31,2019年年底，小区内外进行了自来水改造，本是一件惠民利民的好事，可是改造完毕后，对原本就路面破损的小区造成了更大的损坏，几场雨雪过后，小区居民出行，如同在沼泽地里行进，泥泞不堪不说，坑坑洼洼，老人孩子根本不敢走极其容易摔倒扭伤，安全隐患极大，消防通道路面也破损严重，居民多次向物业反映，居委会反映，办事处反映均无明确答复，推三阻四的相互推脱，就是不给修复，眼看春夏雷雨季节将至，恳请上级领导尽快未小区居民排忧解难，还居民一个安全的出行环境。,2020-03-28,2020-04-07
32,经自然资源和规划局落实，无任何该项目审批档案，请政府拆除违建,2020-04-03,2020-04-07
33,经自然资源和规划局确认，该地块无任何规划许可档案，请政府拆除违建,2020-04-06,2020-04-07
34,海信广场前面人行道，缺一个古力盖，有安全隐患,2020-04-06,2020-04-07
35,凤凰城西侧的华联缤纷港停工多年，施工围栏占用了凤凰城西侧的道路，严重影响居民出行，雨季道路积水严重，项目还建吗？暂时不建的话，把施工围栏撤掉，还路于民？！,2020-04-02,2020-04-05
36,我是小区居民，强烈投诉青岛康储实业有限公司，文播世家堵塞消防通道，挤兑两个小区的业主共用一条生命通道！文播世家的唯一消防道路被石蘑菇挡住，强行挤兑到桓竹苑的唯一消防通道，导致文播世家和桓竹苑公用一条消防通道，符合消防要求？本来是两个盘，单独都有各自的消防通道，桓竹苑已经挤兑一条主要通道盖上违章房，然后又把文播世家的消防通道用石蘑菇挡住，逼迫文播世家业主走桓竹苑唯一的一条消防通道，疫情期间挤兑业主，制造业主矛盾和不和谐声音，请政府立即查办！,2020-03-23,2020-04-05
37,投诉桓竹苑小区生命通道被堵死，投诉两年市北区桓竹苑小区（文播世家）小区，高层与多层中间道路被石球堵死，严重影响居民出行。开发商为了卖高价车位伙同物业屡屡堵路。救护车消防车都无路可行。小区业主联名投诉两年之久，有关部门毫无作为。请有关部门不要懒政。尽快清走挡路石球。,2020-03-23,2020-04-05
38,电线已经下坠到1.5高左右，正好是行人和车辆的必经之路，很危险，已经有两个月，没有任何人维修处理,2020-03-13,2020-04-03
39,你好，请问李沧区维克广场改造项目啥时候竣工，啥时候地面广场能够重新开放给周围居民？ ,2020-04-02,2020-04-03
40,这几天胶州市产业新区正在尚德大道中间搞绿化带，投资2个亿，美其名曰：面子工程，这条路目前是进出产业新区唯一的一条路，经常堵车，老百姓怨声载道，但是当地政府熟视无睹，置若罔闻，对老百姓的反馈总是敷衍了事，这就是你们的执政为民？修绿化带势必要减少两条道，那将使经常堵车变为时时刻刻堵车，在此强政府慎重考虑，不要给老百姓添堵，尽快停止这劳民伤财的面子工程。,2020-04-02,2020-04-03
41,海月路什么时候能打通！有没有计划？,2020-04-02,2020-04-03
