序号,诉求,诉求时间,回复时间
1,假日风情小区的物业管理是最操蛋的，一群啥玩意，整天不干正事，你们管不管？好树给砍了，砍了满地垃圾也不打扫干净了，好树你们砍啥玩意，不知道挖出来种其他地方吗你们是来搞破坏的吗楼道也不拖了，以前还拖一下，现在就知道收钱，你们收的可真心安理得。小区里外面的车随便进，看门大爷不是看门的，是用着小区的水电来种菜的，真是个大爷留着这样的物业也没啥意思了，办事处出面给换了吧。我们业主组织来签字。啥玩意啊,2020-03-26,2020-04-07
2,天天晚上即墨足疗店都在偷着营业，而且都在伪法从业，希望管理一下。,2020-04-02,2020-04-07
3,海信悦华里隔壁建驾校，驾校建在居民区合适吗？驾校隔一墙之间距离建驾校，驾校给居民区带来尾气污染，驾校每天建设灰尘影响居民开窗通风，影响孩子网课，驾校周六周日影响居民休息，办事处领导不为老百姓考虑。驾校取消建在居民楼，给老百姓带来危害，灰尘的污染严重影响居民生活。请领导取消居民楼建设驾校,2020-04-04,2020-04-07
4,关于薛家岛镇天目山路331号楼沿街占路经营薛家岛城管不作为投诉，一，331号楼天目山路珠江路路口东路北天能电池爱玛电动车人行道上修理，沿人行道摆满报废车的投诉，昨天，今天中午连着两天，去市场买菜来回，这门口推自行车过不去，等五六分钟，要不就绕道马路，绕道马路还必须退回南京灌汤包门口才能上马路，因为人行道都是他家的已经全摆满破摩托车电动车了，下午五点后更没法看了，路人行道就是修摆破车的地方。薛家岛城管直接不作为，走马观花，掩耳盗铃，令人费解,2020-04-02,2020-04-07
5,薛家岛天目山路331号楼沿珠江路楼下网点，开始的时候，青岛啤酒网点，夏天晚上五六点后啤酒桶摆人行道经营，现在天目山路331号楼沿珠江路网点3号网点，六子果蔬，正月从这个店营业开始，每天晚上5点后菜筐摆人行道边上，现在好了，短短不到一百米，一边是六子果蔬，一边是天能电池爱玛电动车，都上人行道了，这人行道不能走了，城管不作为！   还有，青岛啤酒，六子果蔬，粮油批发等等，这排网点一直到泰山火烧，三分之二的网点安装了可伸缩室外遮阳棚，都说城管批准合法的，这属于什么？合法合规？这明摆着就是要搞室外经营，和城管打游击战？为什么城管就批准了这些违规遮阳伞碰？,2020-04-02,2020-04-07
6,薛家岛城管，麻烦您看看，现在是6号13点，薛家岛天目山路331号楼下天能电池爱玛电动车，店前面人行道能过去人嘛？？？国家支持复工复产，支持占路经营吗？这占路经营是一天一年的事吗？大家现在一致认为薛家岛城管和冯姓天能电池爱玛电动车老板相互勾结，不是不作为那么简单了，复工复产，祖国更繁荣昌盛这是好事，大家也支持，难道大家老百姓要求有个人行道很过分吗？老百姓都能支持响应国家和你们政府的号召，支持你们是工作，而你们呢？都做些什么？人行道你们居然默认成修车的场地！明摆着的事实你们却能糊弄尽量掩盖真相，政府信箱不是一个两个人都投诉过吧？事不关己高高挂起，今天影响我通行了，我必须投诉！,2020-04-06,2020-04-07
7,市北区兴德路76号大院的宣化路门，门口的盛爱华小卖部私自搭建窗外房严重影响了二楼的安全隐患，希望政府相关部门调查给予拆除,2020-04-02,2020-04-07
8,投诉,2020-04-07,2020-04-07
9,投诉,2020-04-07,2020-04-07
10,您好，我是大洋花园的一名住客，楼下地铁四号线凌晨三点开始施工，噪音过大，扰得我们一家不得安宁。赶工不能以居民健康为代价！去年夏天就整宿施工，让我们整宿无法入睡，不知道何时是个头！在居民区旁是否可以夜间施工？他们是否有夜间施工许可？请相关领导帮忙解决，谢谢！,2020-03-30,2020-04-07
11,城阳区南疃河（廊桥水岸小区北侧）有乱排污水者，有排污水口，污水很臭，影响环境；东侧的桥下有很多垃圾，有夜居者，疫情期间很是危险；南疃河绿化带内有很多苗木枯死，空地很多；保洁人员将焚烧物直接倾倒到绿地内，形成二次污染；南疃河很多苗木因缺水快干死了。,2020-04-07,2020-04-07
12,作为一个湖北人我骄傲，作为一个中国人我更加骄傲，我相信你们周边也有着这些针对湖北人的事情，或者说你们自己就在做这些事情。但是我想说我们湖北人也是人，也是中国人，在湖北老家关了2个多月，闭门不出，更是天天坚持量体温报健康，就是怕给国家带来疫情防控的威胁，做着作为一个中国人该做的。为了生计来到青岛，但是我们周边的环境让我们觉得这里并不欢迎我们，甚至在抵制我们，到处都是湖北人禁止入内，还要专门对监察的人报告情况，甚至是驱逐的湖北的，隔离了那么久来了还要收到种种针对，说实话我的内心很不好受，同为中国人为何有这种事情。反观看新闻来的外国人的种种待遇我的内心有种说不出来的感觉。,2020-04-05,2020-04-07
13,岚西头村北空地，东临宋丰修。乱放柴火，私自种植树木。给附近村民造成一定的安全隐患。请有关部门协调处理。,2020-03-29,2020-04-07
14,牌坊街：东楼路口到文化路交叉口，包括人行通道！长期卫生差，没有清扫保洁的，全靠老天爷刮大风，保洁，长期以来没人管，黄岛区政府不作为，应该追责！,2020-03-31,2020-04-07
15,你好 举报城阳区流亭街道云河路以南，白沙湾路以东，云河路白沙湾路交叉口东侧，1 这里聚集卖水泥 砖头，还有大客车停车场，都成驾校的训练场地了，咋们流亭街道有关部门也不处理吗？投诉好多次了，这里经常搞得尘土飞扬的。2 此片区域有好多种了菜园，私自占用土地。,2020-03-30,2020-04-07
序号,诉求,诉求时间,回复时间
16,小区有地下停车场加临时停车位，靠近路边的空地又在建立收费停车场，现在污染严重，是不是该给小区居民绿化改造环境，而不是一有空地就圈起来建收费停车场！居民买房虽然空地不属于私有，但是居住环境就可以被政府部门私自任意破坏？,2020-03-23,2020-04-07
17,市北区兴德路76号大院的宣化路出口的盛爱华小卖部私自搭建的窗外小房严重影响了二楼的安全隐患，希望政府相关部门调查给予拆除,2020-03-28,2020-04-07
