序号,诉求,诉求时间,回复时间
1,现在小区禁止外出合法吗？不是办理健康证就可以外出了吗？现在小区是不是非法软禁,2020-03-28,2020-04-07
2,不在沉默中爆发，就在沉默中灭亡       2020年初，全国爆发新冠肺炎，受疫情影响，全国各服务行业都延迟开业。随着疫情逐渐被控制，各行业开始回暖，位于青岛市西海岸新区的西雅图美容美发有限公司（以下简称西雅图）却迟迟未见动静。       由于美发店跑路的事情时有发生，面对西雅图一而再的延迟开业，各位会员都提高了警惕，通过微信群组成团体来维护自己的权益。截止到2020年4月3日，各门店依然没有营业的迹象，甚至有几家店已经转让出租，负责人集体失联，已经基本确定跑路无疑。关于西雅图跑路事件，现做一个大致梳理：     一、青岛西雅图美容美发有限公司及其分公司有关情况注：1）西雅图各分公司在2018年先后注销，未对消费者进行任何通知，并且注销后依然正常经营；2）西雅图总公司于2019年12月注销，注销后各门店依然正常经营，并仍在不断吸收储值；部分群友反应充值的收款方为“海陵区伊丽美容院”。       部分受害者的充值记录（公司注销后）： 哪里有阴影，哪里就有光     二、受害者反应，西雅图于2020年一月份对外宣称因系统升级不再使用储值卡内的金额，可享受折扣但只能支付现金。临近年底，美容美发行业正是最繁忙的时候，因系统升级而导致会员长期不能使用储值卡，无疑是增加了额外的消费，这也引起了很多会员的不满与怀疑。有细心的网友就已经开始建立微信群，以防西雅图日后跑路。           三、因疫情原因，所有行业全面延迟复工，而三月中下旬，国家已经开始鼓励服务业复工，据群友反应，各门店依然大门紧闭。有群友试图联系理发店员工，得到的回复是员工在外地还未回来，可能2020年4月1日营业。但在此期间，有几个门店已经开始出租和转让，同时答应营业的门店，直到2020年4月3日，依然没有营业。我们了解到部分员工说自己的工资也已经被拖欠了好几个月还未结清。1、以下是部分门头，门上都贴着出租，甚至有的招牌都已经摘了：2、与理发店员工的对话，基本都是在拖延：         四、根据工商部门于2018年对西雅图下发的处罚通知可知，截止2018年4月，西雅图已办理会员卡1600余张，而其主要营业方式就是以高折扣的优惠来不断推荐办卡和充值，那么到目前为止，我们可以粗略估计现有会员人数数千人，受害金额也有数百万之多。以下为仅一个微信群的受害人数和受害金额。星星之火可以燎原       五、事情发生之后，我们受害人群体通过微信群互相收集信息，拨打12345热线反映情况，不少群友收到了商务局的回复，说是联系不到负责人，暂时无法办理退费事宜，建议我们走法律途径。同时也有群友联系了当地派出所，派出所答复说经济纠纷，建议我们走法律途径。       部分群友已经递交了民事起诉状，但受害人群体庞大，我们希望采取理性合法的方式来维护自身的合法权益，不聚众不闹事，但同时我们希望能够得到媒体的关注，希望有关政府部门能够联合执法，让欺骗消费者的事情不再发生，让失信之人得到应有的惩罚。       如果跑路就能让坏人得偿所愿，那么法治社会又有什么安全可言呢？,2020-04-04,2020-04-07
3,嘀嗒顺风车挂羊头卖狗肉，以顺风车名义从事营运服务,2020-04-05,2020-04-07
4,西雅图美容美发连锁机构，目前我们一群网友已经查到，于2018年7月注销公司，但未告诉我们消费者，依然隐瞒并正常营业，诱导我们充值消费，现在累计金额近百万。我们不能忍受他们的欺骗行为，一定要讨回公道，惩治这些不良商家。,2020-04-04,2020-04-07
5,在黄岛西雅图美容美发充值，店铺倒闭，店员辞职，充值不能用，不给退款,2020-04-05,2020-04-07
6,在网上买的电瓶车，飞道牌的！发票合格证都有，去挂牌，扫合格证二维码时扫不出信息，卖家说是这边的系统没录上！现在上不了牌照，退货又要扣钱！怎么弄？,2020-04-02,2020-04-07
7,2018级第一学段模块检测化学考试范围，请予以告知,2020-04-03,2020-04-07
8,表达抗击新冠肺炎疫情等斗争牺牲烈士和逝世同胞深切哀悼。建议青岛市人民政府印发通知。2020年4月4日青岛全市下半旗志哀，停止一切公共娱乐活动。4月4日十时起，全市人民默哀三分钟。汽车、火车、舰船鸣笛。防空警报鸣响三十分钟。,2020-04-03,2020-04-07
9,本人是甘肃来胶州开兰州拉面的少数民族，去年由于生意不好本人在美团外卖出售土豆丝，黄瓜等现拌小凉菜，并且由于生意不好的原因出售的凉菜并不多，后接到中云工商局的通知：本店被职业举报人举报超范围经营售卖凉菜，限10天内进行整改！本人法律知识薄弱，并不知道不能卖凉菜，胶州100多家拉面都卖，其他餐饮店也都在卖，所以在不知法的情况下进行了售卖。本人自接到通知后及时下架了店里所有凉菜的售卖，并且一直没有在卖。工商局领导第二次来我店里进行调查，发现我店及时停止售卖凉菜后，给我说这事情就先这样！以后不能在外卖出售凉菜！疫情期间本店一直未营业，国家号召个体户积极复工了，我们刚开业就接到中云综合执法的人说，工商局要求他们对我们进行执法，要对我们罚款5000元，受疫情影响，本店现在一月都挣不出来5000块钱！我请求各位领导能帮我解决一下罚款的问题！从始至终，我们都是遵纪守法，听从领导，但我停止售卖半年后还要对我罚款，我实在是没有办法了！,2020-04-03,2020-04-06
10,现在小区禁止外出合法吗？不是办理健康证就可以外出了吗？现在小区是不是非法软禁,2020-03-28,2020-04-06
11,青岛频道栏目涉嫌广告欺骗消费者，隐瞒、夸大主治功能，超出内容范围，对患者有欺骗性，节目营销方式涉嫌广告宣传违规，利用消费者反馈打电话误导消费者，节目语言夸大，中华第一等误导观众购买，违反的多了，写不过了,2020-03-29,2020-04-03
12,为什么青岛市没有物流投诉监管部门？2019年下半年，我在德邦物流发货出现问题，打12345投诉没有监管部门管，最后打省里面的12345给把问题解决了，,2020-03-31,2020-04-03
13,近期市北防疫形式大好，但是桑梓路南山花鸟鱼石市场设卡太严。我好多客户没戴手机和身份证被挡在门外。严重影响我们的生意。据了解每天有10-20多顾客名被拒。客户说再不来了。希望区政府主管部门，放宽政策。有好多地方测量体温合格就可进入市场。如利群等。认真负责也要有个度，不能光做太平官，影响市场经营，怕担责任不是好官。,2020-04-02,2020-04-03
14,现在黑网约车满大街都是，合法网约车得权益有谁来保护？滴滴公司经理在大会上公开表示不建议合规，政府部门如何处理？一个公司违法经营多年，难道政府不知情吗？还是管不了大公司，只会欺负小公司！,2020-03-26,2020-04-03
15,我3月28日预约的口罩经查预约成功，为什么到今天还末通知我取货？,2020-04-02,2020-04-03
序号,诉求,诉求时间,回复时间
16,之前受疫情影响集市封闭，现在很多地方农村集市都放开了，像莱州地区的农村集市半月前就放开了，平度市祝沟大集什么时间能放开，我们就以常年赶集卖衣服为生计，家里也有孩子父母要养活，每年都要定期交一年的摊位费，我们的损失谁来承担？,2020-03-27,2020-04-03
17,尊敬的市领导们！感谢您能抽出宝贵的时间鉴阅一个普通市民的建议！由于突发疫情，给本来就四面楚歌的实体店及个体工商户如雪上加霜！复工复产后，更是门可罗雀！满街都是出租转让的告示！因为个体工商户基本上都是租赁个人门店店面，更难享受国家政府的减免房租政策！艰难开门确难以纳客！面对如此困境，售卖商品拿到门口几乎无利润招揽顾客也几乎难以开张！然而却屡屡被城管告诫面临罚款！不敢想为啥同城不同法度！市北等区基本宽松管理，城市形象也不乱啊！却一片繁荣！市南区房租店租奇贵离谱生意还难做城管严管！理解城市管理执法为民！但特殊时期如此困境，也不能执民为法吧？！可否宽松管理，活跃经济，减少一个出租转让的实体店，就是救活一家子人呢！实体店基本上都是守法好公民！一声号召！为峰会让路！一声号召，全城休店！但疫情过去！也带去了无限商机！忘尊敬的市领导们体察民情！宽松管理！,2020-03-28,2020-04-03
18,我的家人三月上旬在前海利群利群药房购买了40个一次性无菌口罩！共计：180快钱！每只口罩的价格是四元五角。对这个价格本人表示质疑！！！曾经拨打过12315反馈的结果是没有问题。但是对此价格还是表示质疑！一次性无菌口罩能卖到四元五角一只吗？！一次性口罩??的出厂价成本是天价吗？！,2020-03-27,2020-04-03
19,青岛宇宙水灵子生态环境科技有限公司生产的水灵子仪，夸大宣传功效，误导老年消费者，希望有关部门查处！,2020-04-02,2020-04-03
20,2020年2月5号注册用了一个多月半2020年3月29号这个APP使用了打不开了网站换了换了一个赌博网站我有他们的工商注册希望你们本地警察可以去他们公司举报他们这个软件名字是绿恒服务青岛中聚信合融资租赁有限公司,2020-03-29,2020-04-02
21,"您好,我有网店,但是没有实体店,我想要办理营业执照,请问需要提供什么材料,怎么办理呢,",2020-04-01,2020-04-02
22,山东省已经下文件农村大集开放，为什么九龙社区大集不让赶集呢？都在马路上摆摊买卖东西，这样多危险，九龙社区执行哪里去了？,2020-04-02,2020-04-02
23,山东省已经下文件农村大集开放，为什么九龙社区大集不让赶集呢？都在马路上摆摊买卖东西，这样多危险，九龙社区执行哪里去了？,2020-04-02,2020-04-02
24,山东省已经下文件农村大集开放，为什么九龙社区大集不让赶集呢？都在马路上摆摊买卖东西，这样多危险，九龙社区执行哪里去了？,2020-04-02,2020-04-02
25,西海岸新区有西雅图美容美发5.6家，突然全部注销，导致大量会员储值卡全部失效。有预谋的诈骗，,2020-04-02,2020-04-02
