序号,诉求,诉求时间,回复时间
1,4月4号全国哀悼日当天，建议岛城所有的公交车前脸挂上写着“向新冠病毒疫情当中牺牲的烈士以及逝世同胞默哀”这样的黑纸白字牌子，还有公交车车身挂上白花。表示哀悼。,2020-04-04,2020-04-07
2,目前，随着疫情好转，新华书店等场所已经开始营业，但是各区市图书馆仍然是闭馆状态，很理解在疫情期间的这种做法。但是实际情况上，图书馆最热门的是自习室，如果自习室关闭，仅开放书籍阅览室，借阅，人流量并没有很高，尤其是24H自助图书馆，很少或者是就没有桌椅，进去借阅的人不会长时间滞留。并且目前大家仍是会佩戴口等，可以说风险相对新华书店，开放堂食的餐厅是要低的。希望能够尽快开放图书馆等文体设施,2020-03-18,2020-03-27
3,韩局长能先透露下小奖品是什么吗？,2020-03-06,2020-03-06
4,都约了好几次，也没约上！,2020-02-15,2020-02-15
5,胶南市里的24小时自助图书馆实在很少，不能满足人民日益增长的物质文化生活的需要,2020-02-06,2020-02-12
6,不是连不上网，就是收不到验证码，要不就是验证码不对。,2020-02-06,2020-02-07
7,冠状病毒肆虐，众场所关闭。而目前网吧却仍继续开门纳客，令人费解！,2020-01-26,2020-02-01
8,给图书馆提个建议：四楼借阅处的图书紫外线杀毒机坏了很久了，上下两个仓的紫外线灯，一个坏了，直接不亮灯，另一个紫外线灯一闪一闪的，强度很弱。这样的话， 利用紫外线对图书进行杀毒消菌的效果就会大打折扣。希望图书馆尽快对杀毒机进行维修，保障正常使用。,2019-11-18,2019-11-27
9,Hi sir I am Zakir shakirzai from kabul Afghanistan I am doing business with Chinese from 8 years and we more do investment in qingdoa and Guangzhou last we pay money to a lady who’s name is han bing inform huangdoa because they show us the dimples of the cargo we need we are doing truck tires and rims business it is included auto parts we have Pu her deposit but they not provide cargo and waste our we have come before 5 times load our cargo because the seller have inform us to come to visit china but when we come there there was no cargo and they waste our time then last time on March we have asked our embassy in Beijing to help us and they sent a diplomatic notice to foreign affairs office in shinan and we come on August 2019 and by the hard try of China government they bring the seller and buyer I mean us to one disk and we did negotiation and we have accepted commercial bureau of bonded port area of qingdoa us the third party which was suggested by MR Zhang the director of foreign affairs office of qingdoa   And the commercial bureau staff was their in meeting with the seller party on 28 August 2019 like the seller party inform all parties to go to their warehouse in linyi to check the cargo and we all parties go to their warehouse their was no cargo in their and the seller party ask us again in front of commercial bureau for 2 months time to ready our cargo and we accepted to sign a sales contract in front of all party and in the witness of commercial bureau and foreign affairs office but we waited to seller party 5 days but they no meet us and say they are in dongying and I come back to Afghanistan because my visa due and contract left now we suggest and hope to your department contact qingdoa foreign affairs office and commercial bureau to ask the seller party I mean Han bing to ready my cargo and we will come to China as soon to load our cargo and finish this dispute if it got more bing it will be have big bad affect on the friendship of both countries Afghanistan- China please sir help us Best regard Zakir Contact me 008618603174537,2019-11-04,2019-11-15
10,请政府前来调查。,2019-11-07,2019-11-13
11,大剧院有优惠演出吗,2019-10-17,2019-10-17
12,"个体演员备案证明核发申报材料中,营业执照副本,复印件1份,纸质,,是指所在演出场所营业执照吗,",2019-09-22,2019-09-24
13,即墨区三捷网吧长江一路店未成年孩子经常出入网吧，有时候三捷大润发嵩山一路店也经常有未成年孩子出入，希望有关部门监管一下。,2019-09-11,2019-09-12
14,即墨三捷网吧永和店长江一路半夜十二点后经常有未成年孩子出入，希望有关部门监管一下谢谢,2019-09-11,2019-09-12
15,观澜国际V587经常半夜十四五孩子去网吧上网，希望有关部门监管一下。,2019-09-09,2019-09-09
序号,诉求,诉求时间,回复时间
16,观澜国际V587经常半夜十四五孩子去网吧上网，希望有关部门监管一下。,2019-09-09,2019-09-09
17,什么是新精神活性物质？,2019-08-28,2019-08-28
18,新精神活性物质社会危害性如何？,2019-08-28,2019-08-28
19,新精神活性物质是什么？,2019-08-28,2019-08-28
20,转市文化和旅游局，青岛市博物馆新馆，市图书馆新馆分别选址在哪里，是在红岛吗？,2019-08-22,2019-08-23
21,请使用面膜需要注意什么？敷面膜频率越高越好吗？,2019-08-08,2019-08-08
22,各位网民朋友，由于时间关系访谈到此结束，感谢各位网友及李志鹏副局长。,2019-08-07,2019-08-07
