序号,诉求,诉求时间,回复时间
1,市长领导您好：响应国家绿化坟头改造植树，坟头绿化已基本结束。山上栽了雪松等，雪松是大型树种，等多年以后雪松长起来树大招风让风刮到咋办？,2020-04-07,2020-04-07
2,黄岛花科子山南侧山体被破坏正在盖楼，这么好的一块地，靠近山林，有山有水，哪个部门审批的让他们用来盖楼啊？？不能建个公园吗？这么好的一片地方，真是糟蹋了。,2020-04-02,2020-04-07
3,沧口越秀星汇蓝湾二期绿化差，很多地方只铺点草坪糊弄，很多地方都土地裸露了，也有树木枯死。种的小灌木又小又稀。望政府督促，改善至一期的水平。另外路铺的高低不平，很多地方裂了，砖头质量也差，都磨掉了砖面，石板也脱落了，塑胶跑道很多坑,2020-03-30,2020-04-07
4,西海岸新区文化路与益民巷以西路南侧树枝穿插在高压线上，树的下面又是学生的上学放学的途经的聚集处，雷电凤雨季节，存在重大安全隐患，趁学生们还没上学，望领导能够重视，早日消除,2020-04-06,2020-04-07
5,"可喜可贺，感谢区城市管理局对灵山湾路东段拓宽改造、综合管廊建设、绿化提升。建议该路段迁移水杉树后换种其他树种，水杉树适合种植在靠水的地方，并且生长速度慢，灵山湾路东段多年来水杉树还是长势不佳，并且绿叶周期很短，到5月下旬才陆续冒出新芽，10月下旬差不读掉叶，夏天遮阴效果也差。秋季水杉树的确美观，可是只是那么很短的时间，长期来看，水杉树作为行道树效果不佳。综上既然高标准提升了灵山湾路东段，要改变老旧面貌，加上灵山湾路东段两边都是老城改造，未来几年都是高楼林立，美观的城市气息，所以建议合理选种行道树，绿篱等绿化植物,灵山湾路（大珠山路往西）可以继续保留水杉树，还了老胶南人的念想。",2020-04-01,2020-04-05
6,《青岛市地方标准行道树绿带建设规范》，重点推荐树种：悬铃木、白蜡、国槐、银杏（雄株）、朴树、榉树、栾树、复羽叶栾树、千头椿、女贞、日本樱花等。没有水杉树。作为灵山湾路的市民，真实感受这水杉树不适合在这做行道树！最近灵山湾路改造迁移了水杉，我觉得很好，希望彻底更换水杉树。选种其他树种。这边的水杉行道树给市民的感觉是：1、树形直立比较呆板，树皮会自行剥落成片状，全年2/4时间没有叶子，1/4时间叶子是枯褐色的只有1/4时间叶子是绿色，并且平时经常有细小的羽状复叶随风散落，树木周边的落叶不易清理。全年一半时间光秃秃的，这样绿化美观的效果就特别差。2、行道树重要的功能的是遮阴，水杉树笔直且冠太小，想成树荫，除非成片种植，作为行道树夏天遮阴效果很不好。3、长势不佳，北方天气干燥，这树适合种植公园、河道附近，作为行道树实属不好。4、很少有城市用水杉作为行道树的。有人说，水杉树的人民路（灵山湾路）的记忆，现在新区日新月异，尤其灵山湾路东段要大规模提升改造，这种落后的树种也该提升了。,2020-04-02,2020-04-05
7,高新区祥茂河公园，草坪大面积斑秃，部分杂草野花乱入，要求更换新草坪。平时维护要到位，经常灌溉除杂草。操持草坪的整体美观。,2020-03-24,2020-04-03
8,市长你好，马山是国家级自然保护区，但是马山现在的问题就是破坏生态环境违反国家级自然保护区管理条例，即墨区有关部门是严重不作为，自绿盾行动以来，马山国家级自然保护区内破坏生态环境的问题一直没有彻底解决，每次都是解决一点应付上级政府一下，每次都是欺上瞒下、推诿扯皮、弄虛作假、大量编造虚假文件应对上级政府和督察组，性质恶劣。绿盾2017的时候马山后山停车场掩埋了种上花草，青威路北侧的别墅拆了，宫某某的饭店拆了，别墅南侧北山东村刘某某的饭店当时只拆了门窗，但是后来又安上了照常营业，西侧南山东村刘某某的花棚和车间一点都没拆，停车场西侧刘方福的违建房屋也没拆，旅投公司的房屋拆了，马山石林前侧娱乐场边上的小木屋清理了，但是娱乐场没有清理，马山是国家级自然保护区不是旅游区，在自然保护区内建娱乐场就是过度开发旅游，现在是疫情期间娱乐场这里没有游客，但是疫情过了以后到了周末和节假日这里肯定都是人山人海，因为每年3月份以后到了周末和节假日这里人员都是爆满，栅栏外还有流动小贩卖东西，小木屋就是破坏生态环境难道娱乐场就不是破坏生态环境吗？石林前侧的蒙古包酒店去年就给予评估搬家了，但是房屋一直没拆，济公井哪里姓马的搬家好几年了，但是房屋一直没拆，绿盾2018的时候马山部队东侧这里只拆了海来福大棚，边上那家的废旧房屋和大棚是一砖一瓦和一根钢管都没拆，这两家紧靠着，海来福大棚就是破坏生态环境难道这家就不是破坏生态环境吗？这片地里只挖孔掩埋了一部分垃圾，根本就没有彻底清理，刘泽其以前厂房那里很多垃圾，蓝家庄以前老公墓南侧和北侧很多垃圾，新公墓西侧很多垃圾，海来福地里和沟里很多垃圾，通济街道办事处竟然说这片地里的垃圾早已清理，现在就说未发现垃圾，这片地里经常有人晚上往这里倒垃圾，倒完就走，市民们多次投诉，即墨区政府和通济街道办事处一开始就说这家的房屋和大棚是在自然保护区实验区，对自然保护区环境没有影响，难道就海来福大棚有影响吗？后来就说村庄正在制定方案解决这里的问题，再后来就说这片地是与马山部队的置换用地，等部队给予评估补偿到位后就立即解决这里的问题，再后来就说村庄正在制定方案解决这里这里的问题，再后来就说这家要求补偿太高，说来说去就是不想拆他的房屋和大棚，说他要求补偿太高根本就不是理由，听说海来福大棚根本就没给赔偿，去年市民们向市园林和林业局投诉，市园林和林业局将问题反映给即墨区政府，即墨区政府承诺要将这片地进行封闭，实施封闭管理，但是已经快一年了，这片地一直没有封闭，通济街道办事处既不把这片地置换给马山部队，马山管理处也不把这片地进行封闭实施绿化，难道她们都想把这片地当成垃圾场、放牧场、砍伐树木的地方吗？马山国家级自然保护区内还能找出第二块这样的地方吗？这片地里经常有人砍伐树木，每年五一节前后就是槐花盛开的季节，每年都有很多不良村民在这里严重毁树采摘槐花，从来没有工作人员过来管，去年市召开会议要整顿自然保护区内散乱坟头和违法违纪问题，即墨区政府承诺要平坟头、立卧杯、园林式、但是已经快一年了，马山自然保护区内旅投公司西侧好几十个坟头只是点了一下数目，坟头还好好的，每年清明节十月一村民上坟的时候这里都得起火，这里还有人放羊，听说还要养猪，去年市民们投诉这里放羊的事，这里只清理了另一家的羊，说白了她们两家养羊的根本就没有什么影响，关键就是这家还要大量养猪，违建房屋和大棚、垃圾，还有这片地没有封闭，要是这片地去年就封闭起来了，去年那家养羊的他自然的就不养了，即墨政府要是再不解决的话我们一定会把管辖村庄村干部建的违章建筑反映上来的，电话和微信都是17076110792,2020-03-27,2020-04-02
9,网约车太多，建议政府管一管,2020-03-22,2020-04-01
10,希望能严厉打击散播谣言，哄抬物价，引起恐慌的行为。同时反应一下现在人们盲目听从谣言，在疯狂的采购大米等其他东西，希望能及时辟谣，恢复正常秩序。谢谢！,2020-04-01,2020-04-01
