序号,诉求,诉求时间,回复时间
1,青岛市民政局：上访人：周培兰，周培燕，周培基，周莉，周杰执笔人：周杰上访事由：青岛市济慈老年公寓疫情期间暴力虐待我母亲，残暴捆绑母亲双手，不给母亲喂饭喂水，直接导致母亲去世。事情经过：我已故母亲毛桂秋老人自2018年3月6日入住青岛市济慈老年公寓（地址：青岛市市北区清江路152号-29），自入住以来精神状态一切正常，思维清晰。每天一直都是由我们五个子女轮流进行陪护，老人自己可以进食吃饭并且胃口很好，我们子女去的目的主要就是陪老人聊聊天，给老人改善一下伙食，给老人带些喜欢吃的水果零食。老人虽然下半身不能动但是自己可以坐并且慢慢的挪动下床大小便，我们每天去也是不间断的给老人擦擦洗洗。老人爱干净，我们也经常打扫卫生，有时候甚至连床沿橱柜都一并打扫，省去了护工的绝大部分工作，护工需要做的只是早晚端过饭来给老人，晚上家属不在时给老人换一下尿布，我们这样做的目的一方面是出于对母亲的关怀和照顾，很大一方面也是希望帮护工分担一些工作，在家属不在跟前的时候护工可以善待老人，不让老人受委屈。在我们每天不间断的精心照顾下，母亲虽然已经90岁高龄，但是精神状态、胃口一直都很好。事情发生于疫情期间，养老院声称根据民政局的要求禁止家属进行探视。3月17日上午，青岛市济慈老年公寓陈原风院长、护工郝永燕、黄金花三人把三楼56床神志清晰、语言表述正常的老母亲强制、凶狠、暴力的按在床上，母亲一直在拼命挣扎抵抗，但是三人视若无睹，毫无人性的继续对我的90岁老母亲进行暴力捆绑！实行完这种惨无人道的暴行之后她们竟然哈哈大笑！在警方调取的监控中我们忍着悲愤的心情看见这段毫无人性的暴力行为，泣不成声。老人当时立即气的憋气、昏迷，陈原风院长做了缺德事害怕了就给我们打电话让家属立即到养老院，我哥哥接到电话急匆匆赶到后，一进门看到我母亲绑在床上非常气愤，立即给老母亲松绑，但是由于布绳绑的太紧未能解开，只能用剪子剪断布绳，试问一位90岁高龄的老人心理和身体上怎么能够承受这种羞辱和折磨！老人见到思念已久的儿子激动不已，高声呐喊“我没犯法为什么绑我！”我哥哥当即质问为什么捆绑母亲，吴红艳（当日值班班长）竟然回答说不知道，没有理由的对我老母亲进行放肆的羞辱和虐待，难道就是陈院长口中说的对老人的关怀和照顾？我哥哥忙着安抚老人的激动情绪，院方也一直催促让赶紧离开，情急慌乱之中我哥哥也没有想到去采取更多的措施，只是尽量安抚老人的情绪并强烈警告养老院捆绑老人的行为不准再有第二次，吴班长也当即保证不会再有下次。自那以后我母亲精神和身体上都受到了极大的伤害，更加希望家属进去探望，中间我们多次要求进去看看老人都被陈院长强烈拒绝。在这期间养老院因为护理不当导致我母亲从床上摔下来两次，直接不能动了！但是养老院却不通知我们家属，未对我们做任何的交代！如果不是从大夫和护工的口中得知真相，我们到现在还被蒙在鼓里！因为实在思念担心母亲的身体，迫不得已我们家人轮番拨打12345向政府求助，得到的答复都是与养老院联系，后面就没有下文了，有些电话甚至直接就没有得到回复！3月21日石大夫让家属送药才让我进去，我在给母亲擦洗身体时发现腿上胳膊上多处淤青！疫情发生前我们每天都陪护老人从来没出现过这种情况。我当即询问护工黄金花原因，她说老人太重搬不动用力过大造成的，试问有多大的力气才能让我母亲身上多处淤青，还是有其它的不为人知的暴力行为？我们不得而知。由于疫情期间，遵守国家规定，我进去一会儿石大夫就催我离开，我也只能和老人多说说话给她擦洗身上让她能舒服点。养老院疫情封闭期间， 我们家属每天和护工通话询问老母亲情况，得到的答复都是好好好，包括去养老院陈原风院长亲自和家属说她们照顾的很好，可是看了监控后才知道实情！我母亲太可怜了，老人已经不能坐只能躺着生拉硬拽，而且护工还不给老人擦拭洗漱，躺在床上的90岁母亲吃饭只能侧身用手颤微微的一点一点抓着饭吃！后几天母亲身体状况明显不好时，黄护工直接把饭放在板凳上！老人根本没力气，连用手抓饭的力气也没有了！护工一口也不喂，过来一趟看看饭一口都没动直接就端走了！如果说捆绑是约束，那对于一个失能的老人不喂饭，这绝对是虐待了吧！试问，这样的护工有资格继续从事老人的护理工作吗？试问，这就是陈原风院长对生活在线记者所说的关怀与心理疏导吗？试问，这样的养老机构值得我们老百姓信任和托付吗？3月24日我们心急如焚，打电话强烈要求进去看看老人但却遭到拒绝。当天下午石大夫打电话通知我们说老人情况不好（已下病危通知书）让家属尽快去，我们匆忙赶到养老院，在给我母亲换衣服擦洗身体时发现右肩有很大一块淤青，我们立即找来大夫、护士、护工询问原因，他们都说不知道，无法给我们一个合理的解释！当天我母亲的情况已经很不好了，陈原风院长还赶我们离开养老院，我们不放心坚决不走！              3月25日民政局给养老院打电话，说我们母亲的情况允许家属在那陪护，我们才得以进入养老院日夜照顾生命垂危的老母亲，当天晚上母亲自己用尽最后的力气把右肩的伤痕给我的姐姐们看，哭诉养老院对她进行的虐待和摧残！（当晚有视频录像做证据）我们看到后伤心至极，母亲去世后我们回想起来这段，冥冥中就是老人想让家人替她申冤吧！3月26日中午，老人就带着无处诉说的冤屈和一身伤撒手人寰了。目前我们已经报警，我们兄妹五人含着眼泪看了警方调取的监控视频，就连旁观的警察都气愤难当！可怜我那90岁的老母亲，是在一种怎样的折磨和虐待下度过的，每每想到此处我们兄妹都痛彻心扉！养老院院长陈原风和两位护工对老人的所作所为，简直是道德败坏，罄竹难书！如果不看录像，谁都不会知道陈原风是一个人面兽心的、对老人毫无爱心和同情心的人。上梁不正下梁歪，陈院长言传身教教给护工怎样虐待老人，沆瀣一气，以伤害老人取乐！试问这样的院长、这样的护工难道不应该得到社会的谴责和法律的制裁吗？如果这些恶人们得不到应有的惩罚，将会有更多像我母亲这样无助的老人落得可悲的遭遇和下场！我们全家一直遵纪守法，严格遵守国家在防疫期间的规定，我们信任养老院能够尽职尽责的照顾我年迈的老母亲，没想到他们回馈我们的却是我母亲满身的伤痕和非人的折磨！监控录像中母亲临走前的悲惨遭遇将永久成为我们兄妹心中难以抹去的阴影！我们希望并且也相信政府一定会还我们一个公道，我们全家都盼望尽快得到回复。上访诉求：济慈养老院陈原风院长、护工黄金花、郝永燕必须公开向我们家属道歉，向我母亲忏悔自己的过错，并负相关法律责任。2. 罢免陈原风的院长职务，终生不得从事养老服务和管理工作。3. 开除护工黄金花、郝永燕，终生取消此二人的养老服务护理资格。上访人员签名：陈闽琳身份证号：370203196301010335电话号码：13345017197住址：青岛市市北区芙蓉路110号1-604户,2020-04-04,2020-04-07
2,非常感谢退役军人局为我们退役士兵补交社保，大家都觉得有退役军人局退役士兵就有了保障，有了后盾。这次补交社保退役士兵都非常满意。再次谢谢退役军人局的领导和办事人员的辛苦，在此致以崇高的l军礼给退役士兵局的全体人员,2020-04-04,2020-04-07
3,习主席好！从你执政，首先是反腐败，治理环境，精准扶贫，尤其关心癌症病人不让国人因病治贫！我是2016年62岁得白血病，至今快四年了，每月退休金不够吃药的，根本在饥寒交迫中挣扎！度日如年！四年青岛市人民政府没给我提供一分钱帮助！国家规定白血病患者自费应该所在单位在报销70%我所在单位青岛市民政局至今一分不给报销我投诉到市长信箱根本无人查办！所以习主席说的不让一个国民因病治贫在青岛是句空话！青岛官员根本对你的指示置若罔闻！强烈恳请给65以上患白血病老人一条活路！现在在青岛健康退休人，和患白血病老人同样一个月190元能对吗？再说慢粒白血病患者只报销一种药，吃了毒性特别大头疼的要死，脸肿的变形，就要自己再寻医问药一个月就要3000_5000因此强烈恳请青岛市人民政府给老年白血病患者一条活路如下:一，65岁以上患白血病每年不住院患者一，社保卡每月补贴，2000元二，退休金每月补贴，2000元,2020-03-28,2020-04-07
4,     看到有居民投诉李沧区虎山路街道龙苑社区居委会的工作人员赵瑞莲和张光薇，我们深有体会，确实，龙苑社区成立后，工作人员根本没有能力，并且素质低下。所以，我们社区居民意见很大，建议有关部门严肃处理赵瑞莲，张光薇等人。,2020-03-27,2020-04-07
5,"请问我校2月24提交的陈亚鹏,刘祖源,薛佳倚三人的转学和转专业申请何时能审核,",2020-04-06,2020-04-07
6,取缔社区养鸽子，解决一下吧！！！为百姓办点事吧！！！,2020-04-06,2020-04-07
7,习主席好！从你执政，首先是反腐败，治理环境，精准扶贫，尤其关心癌症病人不让国人因病治贫！我是2016年62岁得白血病，至今快四年了，每月退休金不够吃药的，根本在饥寒交迫中挣扎！度日如年！四年青岛市人民政府没给我提供一分钱帮助！国家规定白血病患者自费应该所在单位在报销70%我所在单位青岛市民政局至今一分不给报销我投诉到市长信箱根本无人查办！所以习主席说的不让一个国民因病治贫在青岛是句空话！青岛官员根本对你的指示置若罔闻！强烈恳请给65以上患白血病老人一条活路！现在在青岛健康退休人，和患白血病老人同样一个月190元能对吗？再说慢粒白血病患者只报销一种药，吃了毒性特别大头疼的要死，脸肿的变形，就要自己再寻医问药一个月就要3000_5000因此强烈恳请青岛市人民政府给老年白血病患者一条活路如下:一，65岁以上患白血病每年不住院患者一，社保卡每月补贴，2000元二，退休金每月补贴，2000元,2020-03-28,2020-04-04
8,2020年新办的低保什么时间公布？,2020-03-28,2020-04-03
9,退役后参加了退役军人登记，但未收到光荣牌。2019年9月曾拨打市政热线反映过该问题，但一直没有相关部门给过明确答复。想知道，是否可以给我发放光荣牌？该牌对个人纪念意义重大，请有关部门给与答复。本人身份证37020319840106513X,2020-03-26,2020-04-03
10,我今年48周岁，是当教师的父亲带出来的非农业户口，应该是最后一批带家属的农转非的。这样就没了口粮地，由于政策的变化成为非农业户口的第二年开始也没有了供应粮。高中毕业后国家也没有给安置工作，家里也没有地，所以就一直在一些私企打工。结婚后自己做了一些小生意，这样我就想一个被遗忘在角落里的人，除了近两年有了一个大病统筹，我这个人跟这个国家似乎再没有半点关系。刚开始的时候感觉年轻力壮，自己做点小生意存点钱，老了也就没太大问题，可是天不遂人愿，投资失败欠了一屁股债，2017年又身患肺癌晚期，没有办法和能力挣钱治病养家，为了还债和治病原有的一套房产也卖了，现在寄居于亲戚家的闲置房。没有养老保险，没有大病救助，什么也没有，我成了一个当今社会裸奔的人。我就想问问领导，对于我们这些老教师家属，当年政策所致农转非的人， 特别像我这样的状况的人，有没有什么处理政策？谢谢！,2020-03-31,2020-04-02
