序号,诉求,诉求时间,回复时间
1,青岛市2000年至2019年奶牛各年度存栏量和各年度牛奶产值,2020-03-31,2020-04-01
2,局长您好！因疫情原因，是否可以缓缴海域使用金？,2020-03-25,2020-03-25
3,说到近岸海域的水质，我市都是用优良海域占比来表述，不知优良海域是指什么？是依据什么标准进行分类的？,2020-03-12,2020-03-12
4,国家要求畜禽规模养殖场配建粪污处理设施，我市完成了吗？,2020-03-11,2020-03-11
5,"农村环境治理项目申请,主要用于畜禽粪污,作物秸秆资源化利用,",2020-03-07,2020-03-09
6,http://qdzwapp.qingdao.gov.cn:7103/personal/authorize?view=WyxxList,2020-02-09,2020-02-11
7,最近轮渡挡浪坝外侧航道至马蹄礁航道经常中午时段有很多三无船只和三无橡皮筏拉着很多潜水员潜水，给航行带来极大安全隐患，给渔政部门举报说是海事管，海事举报了也没效果，请给我们一个能治理的举报电话吧，给我们出海造成阻碍！,2020-01-02,2020-01-21
8,渔船造成渔业水域生态环境破坏要承担法律责任吗？,2019-10-23,2019-10-23
9,涉渔船舶跨界捕捞作业法律责任有哪些？,2019-10-23,2019-10-23
10,请问渔船出海生产为什么要配备AIS对讲机？,2019-10-23,2019-10-23
11,现在生猪屠宰是怎么管理的,2019-10-17,2019-10-17
12,想搞肉牛养殖我市哪里有肉牛繁殖厂可以购买到肉牛？政府对这块有没有扶持政策,2019-09-27,2019-10-08
13,胶州湾大桥下仍然有很多木船使用地笼非法捕捞，有4-5搜。希望相关部门继续进行海上清理。,2019-09-25,2019-09-29
14,胶州湾内现在有很多捕捞船非法使用拖网、地笼等违禁品捕捞。希望相关部门马上制止，还胶州湾一片安宁。,2019-09-18,2019-09-23
15,自然资源局杜建，自从当了不动产登记中心主任，腿短了，手长了，整个县太爷一样，高傲的不得了。敬告把持住自己，小心别翻船！,2019-08-28,2019-09-10
序号,诉求,诉求时间,回复时间
16,自然资源局杜建自从当了不动产主任，腿短了，手长了，整个县太爷一样，高傲的要上天，敬告要把持住自己，小心别翻船！,2019-08-28,2019-09-10
17,沙子口南姜码头有好几个人圈海，占领滩涂，驱赶恐吓赶海人员，说海是他们承包的，有合同，我想问一下，三番五令禁止以任何方式占领海滩，滩涂，领导们不管吗？这是不是就是海霸？希望领导们管一管，还市民一个绿色海洋。,2019-08-16,2019-08-23
18,青岛市领导，您好，沙子口南姜码头有人私自占领滩涂，说海是他们承包的，有合同，驱赶赶海人。在当今社会政府三令五申不准以任何形式不准以任何形式占领海滩。滩涂。他们却顶风而上，根本就是目无法纪，给美丽的青岛抹黑，同时他们涉嫌海霸。请有关部门好好的管管他们。谢谢,2019-08-16,2019-08-23
19,鲁海丰集团多条渔船在禁渔期非法捕捞作业！作业渔船船只共9条！船号是鲁黄渔60006.60007.60008.60009.60015.60016.60017.60018.60019。已经向海洋与渔业执法支队举报！举报时间8月7日上午7点10分！举报电话58897025.到8月8日23时都未回复！,2019-08-08,2019-08-14
20,现在的养殖场、养殖户配没配粪污处理设备？,2019-07-31,2019-07-31
21,请问一下，为什么要发起 “海洋攻势”？,2019-06-20,2019-06-20
22,我们厂是生产畜禽粪污发酵处理设备的，怎么才能纳入补贴范围？,2019-05-29,2019-05-29
23,黄岛区琅琊镇多数渔船禁渔期偷捕非常严重，向当地渔政部门举报无效，希望有关部门来管一管，如果次次举报无效再进一步向省里举报。,2019-05-19,2019-05-23
24,中考试题是否为原创,2019-05-16,2019-05-16
25,请问贵局青岛近岸海域的水质状况如何？主要入海污染物有哪些？,2019-05-16,2019-05-16
26,请问红岛河套这边养殖池怎么规划？何时退池还海？,2019-05-08,2019-05-08
27,你好，我是即墨的养殖户，想承包一块海域进行贝类养殖，请问政府有没有规定可以从事养殖的海域范围？,2019-04-17,2019-04-17
28,高新区红岛街道前阳村，邵哥庄村，都是靠海的村子，这两年海边种植大量繁殖超级快的草，已经危害了生态的平衡，请问：1.这些草可否产出。2.海边，前阳村，邵哥庄村，将海滩承包费了个人，在泥巴里养滩，请问钱去哪里了，是谁往外租的？是否会污染海滩。请高新区一一落实，谢谢。,2019-04-01,2019-04-11
29,小米手环最近上线了琴岛通，华为的手环手表什么时候会上线呢？,2019-01-30,2019-01-31
30,台湾路海预宾馆东侧海域直至银海大世界退潮时赶海，总有几个人驱赶老百姓，说是里面养殖了鲍鱼，市政府早就明确规定此处不允许养殖鲍鱼，而且已组织相关人员拆除了此处的鲍鱼池，为什么这几个人仍霸占此处海域驱赶老百姓？而且态度恶劣威胁恐吓周围的居民。请相关单位查处，还老百姓一个安全快乐的环境，谢谢。,2018-10-05,2018-10-15
序号,诉求,诉求时间,回复时间
31,局长，我想把以前的海参育苗车间改养虾，有什么好虾苗推荐吗？,2018-09-21,2018-09-21
32,我有300亩池塘养殖中国对虾，听人说混养一些鱼或者螃蟹能减少病害，是不是真得可行？,2018-09-21,2018-09-21
33,我是一个生猪贩运经纪人，请问现在生猪还能从省外调运吗？,2018-09-20,2018-09-20
34,,2018-07-30,2018-08-31
35,吃饱了瞎找事,2018-08-27,2018-08-28
36,现在我市畜禽养殖污染的现状怎么样,2018-08-23,2018-08-23
37,青岛有自然保护区吗？什么是自然保护区？,2018-08-23,2018-08-23
38,请问渔业船员配备有什么规定？,2018-07-19,2018-07-19
39,您好，请问渔民、渔船互助保险有哪些险种？,2018-07-19,2018-07-19
40,,2018-07-11,2018-07-12
41,,2018-07-09,2018-07-10
42,我是莱西的养殖户，看到100处畜禽规模养殖场废弃物处理设施建设被纳入2018年市办实事，想了解一下相关设施建设的要求和补助标准？,2018-05-17,2018-05-17
43,我们养殖户都很关心畜禽养殖废弃物利用这件事，想问一下对新建区域性畜禽粪污集中处理上级有没有补助政策？,2018-05-17,2018-05-17
44,领导好，积米崖码头附近的网箱为什么迟迟未清理，去年年底好像就规定三月十五号清理完毕，怎么现在越清理越多呢？现在就是些海洋漂浮垃圾。而且小鱼船也越来越好，从当初五六艘到现在二十左右了，这些小船都是在附近租房住的东北人，在附近海域下绝户网。并不是当地渔民。为什么不清理掉呢？现在政府的领导下西海岸越来越好。提议码头的船只应该规范，达到标准要求的保留，其它的应该全部清理掉。,2018-04-25,2018-05-09
45,现在青岛辖区内有多少海上客运码头？游艇码头呢？有没有帆船码头？,2018-04-25,2018-04-25
序号,诉求,诉求时间,回复时间
46,如何申请办理水域滩涂养殖发证？,2018-04-19,2018-04-19
47,海域使用权办理标准是什么？,2018-04-19,2018-04-19
48,我需要办理海域使用权证书，通常都是什么程序？,2018-04-19,2018-04-19
49,我想办理水域滩涂养殖发证，需要提供哪些材料？,2018-04-19,2018-04-19
50,您好，海洋工程是不是必须经过海洋环境影响评价？,2018-04-19,2018-04-19
51,尊敬的各位渔业局领导：我经常在海泊河入海口海域钓鱼，看到在海泊河入海口有很多小渔船用俗称“绝户网”的地龙网捕鱼，渔政执法船经过也不管.禁渔期也是如此，看到捕捞的都是小鱼小虾，这一现象已经存在了很多年了。我想问一下他们用的网具以及在禁渔期捕捞是不是合法的？如果不合法渔政执法船为什么看到都不管？希望百忙之中的各位领导给予回复,2018-04-09,2018-04-16
52,今年养殖场的粪污处理设施配建是市办实事，具体是什么情况？有政策扶持吗？,2018-04-12,2018-04-12
53,最近畜牧局让我们建粪池子，如果我就是不想建，会怎么处理？,2018-04-12,2018-04-12
54,胶南在青石栏灵山岛一直到日照葫芦岛大连那边的大船都在这长地笼从青石栏直接到日照 导致我们这边的渔民收成很不好 望相关部门制止假如相关部门不制止渔民还有出路么,2018-01-01,2018-01-30
55,麻烦问下现在一年四季都能买到带黄的母螃蟹，是不是养殖户通过添加激素喂养控制的？,2017-10-19,2017-10-19
56,听朋友说今年的海洋捕捞受限制了，是什么情况？,2017-10-18,2017-10-18
57,禁渔期和休渔期渔船可否不装载网具等捕捞工具出海进行钓鱼等休闲活动，是否需要某种行政审批或备案？,2017-10-08,2017-10-17
58,给我一个港口我要去捕鱼给我一个港口我要去捕鱼给我一个港口我要去捕鱼给我一个港口我要去捕鱼给我一个港口我要去捕鱼给我一个港口我要去捕鱼,2017-10-11,2017-10-11
59,我与同村一起出海的船大小功率都一样呀，为什么保费却不一样多?,2017-08-24,2017-08-24
60,您好，我是本市的渔民，一直从事海上捕捞，现在渔船老化严重，想重新建造，请问国家给什么优惠政策吗？,2017-08-24,2017-08-24
序号,诉求,诉求时间,回复时间
61,栲栳头码头有4条渔船准备晚上把偷捕的鱼卸货，总共有8万多斤鱿鱼。希望渔政部门尽快来处理！,2017-08-01,2017-08-10
62,蓝线免费停车位这里 每天都用凳子挡着，只有自己的车来才让停 http://govmail.qingdao.gov.cn/government/GovWebSite/ReplyInfos.aspx?guid={20170715-1303-2174-1404-005056AF04B8}上面这个忘配图了，要是可以的话删掉好了,2017-07-15,2017-07-21
63,今天四川路十七号啊举报了一大圈海事局说不归他们管 说区里交送给云路街道办事处管了试问海上的违法斜土船只和违填海归街道办事  处管吗？,2017-07-07,2017-07-13
64,徐家麦岛码头二十多艘渔船晚上出海违规捕捞，下午6-7点发船，一般是在麦岛和润市场售卖,2017-06-30,2017-07-13
65,徐家麦岛码头二十多艘渔船晚上出海违规捕捞，下午6-7点发船，一般都在麦岛和润市场售卖,2017-06-30,2017-07-13
