序号,诉求,诉求时间,回复时间
1,您好！经与交通运输部门对接，了解到G204国道拓宽改造二期工程环境影响评价报告正在编制过程中，目前正在进一步征求公众意见阶段，尚未向我局西海岸新区分局正式申报审批。现在您可直接向建设方或环评报告编制单位反映您的意见建议，以供建设方或环评报告编制单位参考。经西海岸新区交通运输部门证实，G204国道拓宽改造二期工程目前正在开展前期征地拆迁清表、地下管网调查、专业电力管线迁改及手续办理等工作。我局西海岸新区分局将严格项目环评审批，加强环境保护事中事后监管，监督建设单位严格落实各项环境污染防治措施及环保“三同时”制度要求。白天不能超过60分贝，晚上不能超过50分贝，有国家标准应当执行国家标准,2020-04-04,2020-04-07
2,您好！经与交通运输部门对接，了解到G204国道拓宽改造二期工程环境影响评价报告正在编制过程中，目前正在进一步征求公众意见阶段，尚未向我局西海岸新区分局正式申报审批。现在您可直接向建设方或环评报告编制单位反映您的意见建议，以供建设方或环评报告编制单位参考。经西海岸新区交通运输部门证实，G204国道拓宽改造二期工程目前正在开展前期征地拆迁清表、地下管网调查、专业电力管线迁改及手续办理等工作。我局西海岸新区分局将严格项目环评审批，加强环境保护事中事后监管，监督建设单位严格落实各项环境污染防治措施及环保“三同时”制度要求。噪音解决不了，还是找你们，谁盖章，谁负责 ,2020-04-04,2020-04-07
3,您好！经与交通运输部门对接，了解到G204国道拓宽改造二期工程环境影响评价报告正在编制过程中，目前正在进一步征求公众意见阶段，尚未向我局西海岸新区分局正式申报审批。现在您可直接向建设方或环评报告编制单位反映您的意见建议，以供建设方或环评报告编制单位参考。经西海岸新区交通运输部门证实，G204国道拓宽改造二期工程目前正在开展前期征地拆迁清表、地下管网调查、专业电力管线迁改及手续办理等工作。我局西海岸新区分局将严格项目环评审批，加强环境保护事中事后监管，监督建设单位严格落实各项环境污染防治措施及环保“三同时”制度要求。噪音解决不了，还是找你们，谁盖章，谁负责,2020-04-03,2020-04-07
4,现在是2020年3月28日晚上18:27，米罗湾虹桥饭店机器轰鸣、油烟外放，噪声污染、空气污染，周围居民连窗户都不敢开。2016年实施的《中华人民共和国大气污染防治法》规定：“禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟、异味、废气的餐饮服务项目”。”虹桥饭店的位置上，严重违法了《中华人民共和国大气污染防治法》，开设饭店房子，虽然是商用房，但是，未配套设立专用烟道，且与居住层相邻，实际上紧挨着数家居民住户。请李沧区政府尽快依据《中华人民大气污染防治法》吊销米罗湾虹桥饭店的营业执照，因为我们已经投诉了七八个月了，投诉了几十次了。更何况现在是新冠肺炎防疫期间，这家紧挨着住户的客人都是外人，传染了病毒到小区里怎么办？贵政府要置人民的生命安全于不顾吗？贵政府要置《中华人民共和国大气污染防治法》于不顾吗？每次投诉都是回复相同的一句话，贵政府是怎样履行自己的职责的？贵政府还值得人民投诉和信赖吗？,2020-03-28,2020-04-07
5,现在是2020年3月29日上午9:34，米罗湾虹桥饭店机器轰鸣、油烟外放，噪声污染、空气污染，周围居民连窗户都不敢开。而这种情况每天都存在，每天都这样！！！！2016年实施的《中华人民共和国大气污染防治法》规定：“禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟、异味、废气的餐饮服务项目”。”虹桥饭店的位置上，严重违法了《中华人民共和国大气污染防治法》，开设饭店房子，虽然是商用房，但是，未配套设立专用烟道，且与居住层相邻，实际上紧挨着数家居民住户。 请李沧区政府尽快依据《中华人民大气污染防治法》吊销米罗湾虹桥饭店的营业执照，因为我们已经投诉了七八个月了，投诉了几十次了。现在有现成的的法律条文在这里摆着，是什么阻挡了依法治国的脚步？！,2020-03-29,2020-04-07
6,现在是2020年3月29日晚上18:54，家里需要通风，但却不敢打开客厅窗户，为什么，因为米罗湾虹桥饭店机器轰鸣，厨房油烟气味外排！！！就是这样一个严重违反《中华人民共和国大气污染防治法》和《青岛市餐饮服务业环境污染防治监督管理办法》的饭店，却在米罗湾存在了数年，向李沧区政府投诉，每次都是同样的回复，不知道什么让依法治国变得这么难？！！！！！ 李沧区米罗湾虹桥美食，据说是2017年9月获得营业资质。但是，《青岛市餐饮服务业环境污染防治监督管理办法》早于2016年就开始实施，而且米罗湾虹桥美食饭店所设立的位置，根据市政府回复所说已经严重违反了“2016年实施的《中华人民共和国大气污染防治法》之规定：“禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟、异味、废气的餐饮服务项目”。”因为这个饭店就在居民楼内，紧挨居民住户！这个商业房根本没有在建设时就没有烟道，根部就不是一个可以开设餐饮饭店的地方！！！！ 但为什么该饭店的营业执照会获批！？既然已经违法了，李沧区为什么不依法吊销虹桥饭店的营业执照？为什么这么难？ ,2020-03-29,2020-04-07
7,请问黄海悦府房产证何时开始办理,2020-04-02,2020-04-05
8,青岛广播发射台搬迁到哪里,2020-04-01,2020-04-03
9,青岛市政府，李沧区政府长期不执行《中华人民共和国大气污染防治法》，导致米罗湾虹桥饭店噪声扰民、油烟扰民、垃圾污染环境。请青岛市政府责令李沧区政府，依照《中华人民共和国大气污染防治法》，依法吊销虹桥饭店的营业执照。多次投诉，李沧区政府始终不执行，一拖再拖，不知何故。请青岛市政府查明原因。请不要再转给李沧区政府了，因为李沧区政府每次都是相同的回复。请转给相关的监察部门，监察李沧区政府在执行《中华人民共和国大气污染防治法》有没有不作为、渎职的情况。谢谢！,2020-03-26,2020-04-03
10,现在是2020年3月27日中午12:20，米罗湾虹桥饭店机器轰鸣油烟外放，直接威胁周围几十户住户的安全。这个饭店大门朝外，谁都可以进，但饭店窗户朝小区内开，油烟废气在小区内排，我们怕死，你们不怕我们怕。李沧区米罗湾虹桥美食，据说是2017年9月获得营业资质。但是，《青岛市餐饮服务业环境污染防治监督管理办法》早于2016年就开始实施，而且米罗湾虹桥美食饭店所设立的位置，根据市政府回复所说已经严重违法了“2016年实施的《中华人民共和国大气污染防治法》之规定：“禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟、异味、废气的餐饮服务项目”。”该饭店紧挨居民住户，而且不止一户，是“严禁”的范围。请李沧区政府依据《中华人民共和国大气污染防治法》和《青岛市餐饮服务业环境污染防治监督管理办法》之规定，依法吊销虹桥饭店的营业执照。疫情期间，如果虹桥饭店发生任何事情，都由贵政府的不作为、不依法行事负责，在此立帖为证。,2020-03-27,2020-04-03
